[19:23:23] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[246]	train-auc:0.90453	test-auc:0.90385
[247]	train-auc:0.90464	test-auc:0.90397
[248]	train-auc:0.90473	test-auc:0.90407
[249]	train-auc:0.90485	test-auc:0.90419
[250]	train-auc:0.90497	test-auc:0.90433
[251]	train-auc:0.90507	test-auc:0.90442
[252]	train-auc:0.90521	test-auc:0.90455
[253]	train-auc:0.90542	test-auc:0.90474
[254]	train-auc:0.90559	test-auc:0.90493
[255]	train-auc:0.90570	test-auc:0.90502
[256]	train-auc:0.90577	test-auc:0.90511
[257]	train-auc:0.90585	test-auc:0.90518
[258]	train-auc:0.90608	test-auc:0.90539
[259]	train-auc:0.90625	test-auc:0.90557
[260]	train-auc:0.90642	test-auc:0.90576
[261]	train-auc:0.90655	test-auc:0.90589
[262]	train-auc:0.90667	test-auc:0.90599
[263]	train-auc:0.90684	test-auc:0.90616
[264]	train-auc:0.90692	test-auc:0.90623
[265]	train-auc:0.90700	test-auc:0.90630
[266]	train-auc:0.90710	test-auc:0.90640
[267]	train-auc:0.90724	test-auc:0.90657
[268]	train-auc:0.90735	test-auc:0.90668
[269]	train-auc:0.90745	test-auc:0.90680
[270]	train-auc:0.90755	test-auc:0.90690
[271]	train-auc:0.90771	test-auc:0.90707
[272]	train-auc:0.90779	test-auc:0.90715
[273]	train-auc:0.90786	test-auc:0.90721
[274]	train-auc:0.90801	test-auc:0.90735
[275]	train-auc:0.90815	test-auc:0.90749
[276]	train-auc:0.90836	test-auc:0.90771
[277]	train-auc:0.90851	test-auc:0.90788
[278]	train-auc:0.90859	test-auc:0.90794
[279]	train-auc:0.90865	test-auc:0.90802
[280]	train-auc:0.90875	test-auc:0.90812
[281]	train-auc:0.90882	test-auc:0.90819
[282]	train-auc:0.90896	test-auc:0.90833
[283]	train-auc:0.90907	test-auc:0.90846
[284]	train-auc:0.90920	test-auc:0.90860
[285]	train-auc:0.90933	test-auc:0.90872
[286]	train-auc:0.90943	test-auc:0.90883
[287]	train-auc:0.90966	test-auc:0.90906
[288]	train-auc:0.90979	test-auc:0.90919
[289]	train-auc:0.90987	test-auc:0.90927
[290]	train-auc:0.91004	test-auc:0.90940
[291]	train-auc:0.91016	test-auc:0.90951
[292]	train-auc:0.91031	test-auc:0.90968
[293]	train-auc:0.91041	test-auc:0.90979
[294]	train-auc:0.91056	test-auc:0.90995
[295]	train-auc:0.91068	test-auc:0.91010
[296]	train-auc:0.91084	test-auc:0.91026
[297]	train-auc:0.91099	test-auc:0.91043
[298]	train-auc:0.91111	test-auc:0.91055
[299]	train-auc:0.91125	test-auc:0.91070
[300]	train-auc:0.91133	test-auc:0.91080
[301]	train-auc:0.91142	test-auc:0.91089
[302]	train-auc:0.91150	test-auc:0.91098
[303]	train-auc:0.91157	test-auc:0.91103
[304]	train-auc:0.91168	test-auc:0.91116
[305]	train-auc:0.91174	test-auc:0.91122
[306]	train-auc:0.91183	test-auc:0.91132
[307]	train-auc:0.91198	test-auc:0.91149
[308]	train-auc:0.91211	test-auc:0.91162
[309]	train-auc:0.91220	test-auc:0.91171
[310]	train-auc:0.91227	test-auc:0.91180
[311]	train-auc:0.91239	test-auc:0.91192
[312]	train-auc:0.91248	test-auc:0.91203
[313]	train-auc:0.91253	test-auc:0.91207
[314]	train-auc:0.91261	test-auc:0.91214
[315]	train-auc:0.91267	test-auc:0.91219
[316]	train-auc:0.91276	test-auc:0.91230
[317]	train-auc:0.91281	test-auc:0.91234
[318]	train-auc:0.91289	test-auc:0.91241
[319]	train-auc:0.91302	test-auc:0.91254
[320]	train-auc:0.91311	test-auc:0.91262
[321]	train-auc:0.91319	test-auc:0.91271
[322]	train-auc:0.91329	test-auc:0.91280
[323]	train-auc:0.91340	test-auc:0.91290
