/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:32:49] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.90626	test-auc:0.86176
[124]	train-auc:0.90647	test-auc:0.86181
[125]	train-auc:0.90672	test-auc:0.86182
[126]	train-auc:0.90692	test-auc:0.86174
[127]	train-auc:0.90709	test-auc:0.86173
[128]	train-auc:0.90734	test-auc:0.86174
[129]	train-auc:0.90771	test-auc:0.86169
[130]	train-auc:0.90792	test-auc:0.86179
[131]	train-auc:0.90831	test-auc:0.86174
[132]	train-auc:0.90849	test-auc:0.86176
[133]	train-auc:0.90880	test-auc:0.86186
[134]	train-auc:0.90915	test-auc:0.86201
[135]	train-auc:0.90947	test-auc:0.86227
[136]	train-auc:0.90965	test-auc:0.86226
[137]	train-auc:0.90999	test-auc:0.86229
[138]	train-auc:0.91019	test-auc:0.86232
[139]	train-auc:0.91048	test-auc:0.86236
[140]	train-auc:0.91063	test-auc:0.86239
[141]	train-auc:0.91088	test-auc:0.86252
[142]	train-auc:0.91130	test-auc:0.86280
[143]	train-auc:0.91159	test-auc:0.86290
[144]	train-auc:0.91179	test-auc:0.86296
[145]	train-auc:0.91195	test-auc:0.86298
[146]	train-auc:0.91228	test-auc:0.86291
[147]	train-auc:0.91246	test-auc:0.86288
[148]	train-auc:0.91275	test-auc:0.86288
[149]	train-auc:0.91283	test-auc:0.86292
[150]	train-auc:0.91314	test-auc:0.86299
[151]	train-auc:0.91339	test-auc:0.86304
[152]	train-auc:0.91359	test-auc:0.86300
[153]	train-auc:0.91392	test-auc:0.86302
[154]	train-auc:0.91426	test-auc:0.86305
[155]	train-auc:0.91459	test-auc:0.86305
[156]	train-auc:0.91488	test-auc:0.86324
[157]	train-auc:0.91495	test-auc:0.86325
[158]	train-auc:0.91505	test-auc:0.86322
[159]	train-auc:0.91520	test-auc:0.86322
[160]	train-auc:0.91557	test-auc:0.86340
[161]	train-auc:0.91580	test-auc:0.86338
[162]	train-auc:0.91603	test-auc:0.86347
[163]	train-auc:0.91623	test-auc:0.86350
[164]	train-auc:0.91648	test-auc:0.86360
[165]	train-auc:0.91663	test-auc:0.86360
[166]	train-auc:0.91693	test-auc:0.86383
[167]	train-auc:0.91714	test-auc:0.86388
[168]	train-auc:0.91726	test-auc:0.86389
[169]	train-auc:0.91744	test-auc:0.86391
[170]	train-auc:0.91770	test-auc:0.86389
[171]	train-auc:0.91782	test-auc:0.86390
[172]	train-auc:0.91809	test-auc:0.86397
[173]	train-auc:0.91833	test-auc:0.86396
[174]	train-auc:0.91858	test-auc:0.86400
[175]	train-auc:0.91880	test-auc:0.86410
[176]	train-auc:0.91905	test-auc:0.86411
[177]	train-auc:0.91927	test-auc:0.86413
[178]	train-auc:0.91936	test-auc:0.86415
[179]	train-auc:0.91948	test-auc:0.86413
[180]	train-auc:0.91961	test-auc:0.86416
[181]	train-auc:0.91990	test-auc:0.86417
[182]	train-auc:0.92009	test-auc:0.86415
[183]	train-auc:0.92028	test-auc:0.86411
[184]	train-auc:0.92040	test-auc:0.86420
[185]	train-auc:0.92056	test-auc:0.86422
[186]	train-auc:0.92077	test-auc:0.86427
[187]	train-auc:0.92086	test-auc:0.86432
[188]	train-auc:0.92100	test-auc:0.86428
[189]	train-auc:0.92125	test-auc:0.86437
[190]	train-auc:0.92149	test-auc:0.86438
[191]	train-auc:0.92182	test-auc:0.86441
[192]	train-auc:0.92201	test-auc:0.86435
[193]	train-auc:0.92214	test-auc:0.86437
[194]	train-auc:0.92230	test-auc:0.86435
[195]	train-auc:0.92251	test-auc:0.86438
[196]	train-auc:0.92270	test-auc:0.86444
[197]	train-auc:0.92281	test-auc:0.86441
[198]	train-auc:0.92295	test-auc:0.86442
[199]	train-auc:0.92327	test-auc:0.86446
[200]	train-auc:0.92355	test-auc:0.86452
[201]	train-auc:0.92389	test-auc:0.86457
[202]	train-auc:0.92411	test-auc:0.86459
[203]	train-auc:0.92424	test-auc:0.86459
[204]	train-auc:0.92437	test-auc:0.86460
[205]	train-auc:0.92448	test-auc:0.86462
[206]	train-auc:0.92459	test-auc:0.86461
[207]	train-auc:0.92482	test-auc:0.86465
[208]	train-auc:0.92496	test-auc:0.86468
[209]	train-auc:0.92506	test-auc:0.86470
[210]	train-auc:0.92520	test-auc:0.86466
[211]	train-auc:0.92532	test-auc:0.86464
[212]	train-auc:0.92554	test-auc:0.86476
[213]	train-auc:0.92561	test-auc:0.86474
[214]	train-auc:0.92583	test-auc:0.86473
[215]	train-auc:0.92610	test-auc:0.86473
[216]	train-auc:0.92624	test-auc:0.86477
[217]	train-auc:0.92635	test-auc:0.86487
[218]	train-auc:0.92650	test-auc:0.86488
[219]	train-auc:0.92666	test-auc:0.86484
[220]	train-auc:0.92680	test-auc:0.86483
[221]	train-auc:0.92692	test-auc:0.86481
[222]	train-auc:0.92705	test-auc:0.86479
[223]	train-auc:0.92714	test-auc:0.86481
[224]	train-auc:0.92738	test-auc:0.86488
[225]	train-auc:0.92753	test-auc:0.86488
[226]	train-auc:0.92779	test-auc:0.86493
[227]	train-auc:0.92807	test-auc:0.86493
[228]	train-auc:0.92817	test-auc:0.86491
[229]	train-auc:0.92836	test-auc:0.86490
[230]	train-auc:0.92868	test-auc:0.86511
[231]	train-auc:0.92887	test-auc:0.86523
