[21:55:26] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[127]	train-auc:0.89202	test-auc:0.89125
[128]	train-auc:0.89222	test-auc:0.89150
[129]	train-auc:0.89241	test-auc:0.89171
[130]	train-auc:0.89256	test-auc:0.89183
[131]	train-auc:0.89279	test-auc:0.89210
[132]	train-auc:0.89299	test-auc:0.89230
[133]	train-auc:0.89320	test-auc:0.89251
[134]	train-auc:0.89344	test-auc:0.89277
[135]	train-auc:0.89359	test-auc:0.89295
[136]	train-auc:0.89380	test-auc:0.89312
[137]	train-auc:0.89405	test-auc:0.89338
[138]	train-auc:0.89421	test-auc:0.89353
[139]	train-auc:0.89435	test-auc:0.89367
[140]	train-auc:0.89446	test-auc:0.89378
[141]	train-auc:0.89458	test-auc:0.89389
[142]	train-auc:0.89472	test-auc:0.89405
[143]	train-auc:0.89480	test-auc:0.89413
[144]	train-auc:0.89493	test-auc:0.89426
[145]	train-auc:0.89520	test-auc:0.89453
[146]	train-auc:0.89534	test-auc:0.89470
[147]	train-auc:0.89554	test-auc:0.89487
[148]	train-auc:0.89588	test-auc:0.89522
[149]	train-auc:0.89606	test-auc:0.89540
[150]	train-auc:0.89614	test-auc:0.89547
[151]	train-auc:0.89624	test-auc:0.89558
[152]	train-auc:0.89654	test-auc:0.89592
[153]	train-auc:0.89663	test-auc:0.89600
[154]	train-auc:0.89685	test-auc:0.89621
[155]	train-auc:0.89694	test-auc:0.89629
[156]	train-auc:0.89709	test-auc:0.89647
[157]	train-auc:0.89733	test-auc:0.89669
[158]	train-auc:0.89748	test-auc:0.89686
[159]	train-auc:0.89763	test-auc:0.89702
[160]	train-auc:0.89780	test-auc:0.89720
[161]	train-auc:0.89801	test-auc:0.89740
[162]	train-auc:0.89804	test-auc:0.89743
[163]	train-auc:0.89826	test-auc:0.89764
[164]	train-auc:0.89836	test-auc:0.89773
[165]	train-auc:0.89855	test-auc:0.89793
[166]	train-auc:0.89862	test-auc:0.89799
[167]	train-auc:0.89867	test-auc:0.89803
[168]	train-auc:0.89892	test-auc:0.89830
[169]	train-auc:0.89921	test-auc:0.89858
[170]	train-auc:0.89942	test-auc:0.89882
[171]	train-auc:0.89953	test-auc:0.89891
[172]	train-auc:0.89963	test-auc:0.89902
[173]	train-auc:0.89975	test-auc:0.89915
[174]	train-auc:0.90003	test-auc:0.89943
[175]	train-auc:0.90013	test-auc:0.89951
[176]	train-auc:0.90035	test-auc:0.89974
[177]	train-auc:0.90048	test-auc:0.89989
[178]	train-auc:0.90056	test-auc:0.89997
[179]	train-auc:0.90071	test-auc:0.90012
[180]	train-auc:0.90084	test-auc:0.90026
[181]	train-auc:0.90091	test-auc:0.90033
[182]	train-auc:0.90123	test-auc:0.90068
[183]	train-auc:0.90132	test-auc:0.90080
[184]	train-auc:0.90144	test-auc:0.90093
[185]	train-auc:0.90160	test-auc:0.90107
[186]	train-auc:0.90167	test-auc:0.90114
[187]	train-auc:0.90178	test-auc:0.90122
[188]	train-auc:0.90206	test-auc:0.90148
[189]	train-auc:0.90218	test-auc:0.90161
[190]	train-auc:0.90229	test-auc:0.90172
[191]	train-auc:0.90244	test-auc:0.90188
[192]	train-auc:0.90257	test-auc:0.90197
[193]	train-auc:0.90269	test-auc:0.90213
[194]	train-auc:0.90285	test-auc:0.90229
[195]	train-auc:0.90305	test-auc:0.90251
[196]	train-auc:0.90324	test-auc:0.90277
[197]	train-auc:0.90340	test-auc:0.90292
[198]	train-auc:0.90365	test-auc:0.90319
[199]	train-auc:0.90370	test-auc:0.90325
[200]	train-auc:0.90381	test-auc:0.90334
