/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 28151, number of negative: 102006
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.211689 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 25953
[LightGBM] [Info] Number of data points in the train set: 130157, number of used features: 176
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216285 -> initscore=-1.287449
[LightGBM] [Info] Start training from score -1.287449
[1]	val's auc: 0.819314
Training until validation scores don't improve for 10 rounds
[2]	val's auc: 0.827183
[3]	val's auc: 0.83053
[4]	val's auc: 0.835106
[5]	val's auc: 0.840305
[6]	val's auc: 0.843415
[7]	val's auc: 0.845263
[8]	val's auc: 0.846457
[9]	val's auc: 0.847991
[10]	val's auc: 0.849511
[11]	val's auc: 0.850359
[12]	val's auc: 0.851666
[13]	val's auc: 0.8527
[14]	val's auc: 0.854
[15]	val's auc: 0.854761
[16]	val's auc: 0.855723
[17]	val's auc: 0.85655
[18]	val's auc: 0.857514
[19]	val's auc: 0.858405
[20]	val's auc: 0.859262
[21]	val's auc: 0.860458
[22]	val's auc: 0.861456
[23]	val's auc: 0.862378
[24]	val's auc: 0.86335
[25]	val's auc: 0.864198
[26]	val's auc: 0.864899
[27]	val's auc: 0.865588
[28]	val's auc: 0.866464
[29]	val's auc: 0.867382
[30]	val's auc: 0.867999
[31]	val's auc: 0.868536
[32]	val's auc: 0.869217
[33]	val's auc: 0.869773
[34]	val's auc: 0.870522
[35]	val's auc: 0.871378
[36]	val's auc: 0.871933
[37]	val's auc: 0.872548
[38]	val's auc: 0.873188
[39]	val's auc: 0.873869
[40]	val's auc: 0.874558
[41]	val's auc: 0.875328
[42]	val's auc: 0.875925
[43]	val's auc: 0.876429
[44]	val's auc: 0.877175
[45]	val's auc: 0.87772
[46]	val's auc: 0.878324
[47]	val's auc: 0.87895
[48]	val's auc: 0.879583
[49]	val's auc: 0.880162
[50]	val's auc: 0.880723
[51]	val's auc: 0.881231
[52]	val's auc: 0.881861
[53]	val's auc: 0.882306
[54]	val's auc: 0.882828
[55]	val's auc: 0.883327
[56]	val's auc: 0.883941
[57]	val's auc: 0.884517
[58]	val's auc: 0.885085
[59]	val's auc: 0.885593
[60]	val's auc: 0.886143
[61]	val's auc: 0.886605
[62]	val's auc: 0.887101
[63]	val's auc: 0.887627
[64]	val's auc: 0.888154
[65]	val's auc: 0.888601
[66]	val's auc: 0.889084
[67]	val's auc: 0.889603
[68]	val's auc: 0.890088
[69]	val's auc: 0.890535
[70]	val's auc: 0.890945
[71]	val's auc: 0.891385
[72]	val's auc: 0.891828
[73]	val's auc: 0.892267
[74]	val's auc: 0.892715
[75]	val's auc: 0.893204
[76]	val's auc: 0.89363
[77]	val's auc: 0.894078
[78]	val's auc: 0.894513
[79]	val's auc: 0.894945
[80]	val's auc: 0.895383
[81]	val's auc: 0.89578
[82]	val's auc: 0.896201
[83]	val's auc: 0.896637
[84]	val's auc: 0.896997
[85]	val's auc: 0.897391
[86]	val's auc: 0.897765
[87]	val's auc: 0.898131
[88]	val's auc: 0.898503
[89]	val's auc: 0.89892
[90]	val's auc: 0.899347
[91]	val's auc: 0.899742
[92]	val's auc: 0.900162
[93]	val's auc: 0.900509
[94]	val's auc: 0.90093
[95]	val's auc: 0.901262
[96]	val's auc: 0.901634
[97]	val's auc: 0.902
[98]	val's auc: 0.902352
[99]	val's auc: 0.902687
[100]	val's auc: 0.903054
[101]	val's auc: 0.903438
[102]	val's auc: 0.903765
[103]	val's auc: 0.904066
[104]	val's auc: 0.904407
[105]	val's auc: 0.904827
[106]	val's auc: 0.905183
[107]	val's auc: 0.905551
[108]	val's auc: 0.905896
[109]	val's auc: 0.906175
[110]	val's auc: 0.906512
[111]	val's auc: 0.90685
[112]	val's auc: 0.907063
[113]	val's auc: 0.907452
[114]	val's auc: 0.907814
[115]	val's auc: 0.908105
[116]	val's auc: 0.908421
[117]	val's auc: 0.908762
[118]	val's auc: 0.909101
[119]	val's auc: 0.909432
[120]	val's auc: 0.909719
[121]	val's auc: 0.910067
[122]	val's auc: 0.910439
[123]	val's auc: 0.910793
[124]	val's auc: 0.911091
[125]	val's auc: 0.911366
[126]	val's auc: 0.911683
[127]	val's auc: 0.911994
[128]	val's auc: 0.912307
[129]	val's auc: 0.91263
[130]	val's auc: 0.912932
[131]	val's auc: 0.913226
[132]	val's auc: 0.913564
[133]	val's auc: 0.913789
[134]	val's auc: 0.914132
[135]	val's auc: 0.914422
[136]	val's auc: 0.914686
[137]	val's auc: 0.91493
[138]	val's auc: 0.915241
[139]	val's auc: 0.915517
[140]	val's auc: 0.915839
[141]	val's auc: 0.916162
[142]	val's auc: 0.916449
[143]	val's auc: 0.916733
[144]	val's auc: 0.917002
[145]	val's auc: 0.917302
[146]	val's auc: 0.917646
[147]	val's auc: 0.917959
[148]	val's auc: 0.918198
[149]	val's auc: 0.918443
[150]	val's auc: 0.918731
[151]	val's auc: 0.919037
[152]	val's auc: 0.919302
[153]	val's auc: 0.919591
