/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 28151, number of negative: 102006
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.211689 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 25953
[LightGBM] [Info] Number of data points in the train set: 130157, number of used features: 176
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216285 -> initscore=-1.287449
[LightGBM] [Info] Start training from score -1.287449
[1]	val's auc: 0.819314
[154]	val's auc: 0.919925
[155]	val's auc: 0.92022
[156]	val's auc: 0.920473
[157]	val's auc: 0.920723
[158]	val's auc: 0.920924
[159]	val's auc: 0.921132
[160]	val's auc: 0.921389
[161]	val's auc: 0.921662
[162]	val's auc: 0.921929
[163]	val's auc: 0.922181
[164]	val's auc: 0.922463
[165]	val's auc: 0.922761
[166]	val's auc: 0.923059
[167]	val's auc: 0.923305
[168]	val's auc: 0.923535
[169]	val's auc: 0.923757
[170]	val's auc: 0.924018
[171]	val's auc: 0.924256
[172]	val's auc: 0.924507
[173]	val's auc: 0.924768
[174]	val's auc: 0.925014
[175]	val's auc: 0.925237
[176]	val's auc: 0.925519
[177]	val's auc: 0.925768
[178]	val's auc: 0.925989
[179]	val's auc: 0.926213
[180]	val's auc: 0.926447
[181]	val's auc: 0.926694
[182]	val's auc: 0.926971
[183]	val's auc: 0.927262
[184]	val's auc: 0.927492
[185]	val's auc: 0.927703
[186]	val's auc: 0.927907
[187]	val's auc: 0.928162
[188]	val's auc: 0.928418
[189]	val's auc: 0.92866
[190]	val's auc: 0.928828
[191]	val's auc: 0.929067
[192]	val's auc: 0.929277
[193]	val's auc: 0.929525
[194]	val's auc: 0.929763
[195]	val's auc: 0.929981
[196]	val's auc: 0.930212
[197]	val's auc: 0.930404
[198]	val's auc: 0.930636
[199]	val's auc: 0.930864
[200]	val's auc: 0.93112
[201]	val's auc: 0.93133
[202]	val's auc: 0.931529
[203]	val's auc: 0.931743
[204]	val's auc: 0.931929
[205]	val's auc: 0.932141
[206]	val's auc: 0.93232
[207]	val's auc: 0.932513
[208]	val's auc: 0.932707
[209]	val's auc: 0.932949
[210]	val's auc: 0.93312
[211]	val's auc: 0.933309
[212]	val's auc: 0.933505
[213]	val's auc: 0.933722
[214]	val's auc: 0.933942
[215]	val's auc: 0.93412
[216]	val's auc: 0.934292
[217]	val's auc: 0.934479
[218]	val's auc: 0.934696
[219]	val's auc: 0.934873
[220]	val's auc: 0.935054
[221]	val's auc: 0.935245
[222]	val's auc: 0.935439
[223]	val's auc: 0.935631
[224]	val's auc: 0.935784
[225]	val's auc: 0.935988
[226]	val's auc: 0.936149
[227]	val's auc: 0.936324
[228]	val's auc: 0.936564
[229]	val's auc: 0.936772
[230]	val's auc: 0.936971
[231]	val's auc: 0.937173
[232]	val's auc: 0.937379
[233]	val's auc: 0.937563
[234]	val's auc: 0.937724
[235]	val's auc: 0.937933
[236]	val's auc: 0.938126
[237]	val's auc: 0.938329
[238]	val's auc: 0.938568
[239]	val's auc: 0.938746
[240]	val's auc: 0.938933
[241]	val's auc: 0.93913
[242]	val's auc: 0.939311
[243]	val's auc: 0.939486
[244]	val's auc: 0.939647
[245]	val's auc: 0.939786
[246]	val's auc: 0.939968
[247]	val's auc: 0.940187
[248]	val's auc: 0.940375
[249]	val's auc: 0.940549
[250]	val's auc: 0.940687
[251]	val's auc: 0.940873
[252]	val's auc: 0.941059
[253]	val's auc: 0.941217
[254]	val's auc: 0.94137
[255]	val's auc: 0.941537
[256]	val's auc: 0.941727
[257]	val's auc: 0.941893
[258]	val's auc: 0.942067
[259]	val's auc: 0.942259
[260]	val's auc: 0.94241
[261]	val's auc: 0.942585
[262]	val's auc: 0.942793
[263]	val's auc: 0.942932
[264]	val's auc: 0.943089
[265]	val's auc: 0.943311
[266]	val's auc: 0.943489
[267]	val's auc: 0.943616
[268]	val's auc: 0.943784
[269]	val's auc: 0.943968
[270]	val's auc: 0.94412
[271]	val's auc: 0.944289
[272]	val's auc: 0.944466
[273]	val's auc: 0.944618
[274]	val's auc: 0.944773
[275]	val's auc: 0.944929
[276]	val's auc: 0.945101
[277]	val's auc: 0.945228
[278]	val's auc: 0.945395
[279]	val's auc: 0.945506
[280]	val's auc: 0.945648
[281]	val's auc: 0.945787
[282]	val's auc: 0.945956
[283]	val's auc: 0.94612
[284]	val's auc: 0.946319
[285]	val's auc: 0.946487
[286]	val's auc: 0.946599
[287]	val's auc: 0.946739
[288]	val's auc: 0.946918
[289]	val's auc: 0.947048
[290]	val's auc: 0.947175
[291]	val's auc: 0.947333
[292]	val's auc: 0.94742
[293]	val's auc: 0.947582
[294]	val's auc: 0.947775
[295]	val's auc: 0.947925
[296]	val's auc: 0.948063
[297]	val's auc: 0.94817
[298]	val's auc: 0.948307
[299]	val's auc: 0.94846
[300]	val's auc: 0.948624
[301]	val's auc: 0.948768
[302]	val's auc: 0.9489
[303]	val's auc: 0.949053
[304]	val's auc: 0.949183
[305]	val's auc: 0.949312
[306]	val's auc: 0.949451
[307]	val's auc: 0.949596
[308]	val's auc: 0.949739
[309]	val's auc: 0.949845
[310]	val's auc: 0.949975
[311]	val's auc: 0.950148
[312]	val's auc: 0.950294
[313]	val's auc: 0.950408
[314]	val's auc: 0.950563
[315]	val's auc: 0.950651
[316]	val's auc: 0.950755
[317]	val's auc: 0.950861
[318]	val's auc: 0.950957
[319]	val's auc: 0.951103
[320]	val's auc: 0.951234
[321]	val's auc: 0.95136
[322]	val's auc: 0.951492
[323]	val's auc: 0.951603
[324]	val's auc: 0.951718
[325]	val's auc: 0.951826
[326]	val's auc: 0.951962
[327]	val's auc: 0.952101
[328]	val's auc: 0.952215
[329]	val's auc: 0.952344
[330]	val's auc: 0.952467
[331]	val's auc: 0.952598
[332]	val's auc: 0.952706
[333]	val's auc: 0.952823
[334]	val's auc: 0.952951
[335]	val's auc: 0.953051
[336]	val's auc: 0.953186
[337]	val's auc: 0.953299
[338]	val's auc: 0.953361
[339]	val's auc: 0.953424
[340]	val's auc: 0.953555
[341]	val's auc: 0.953646
[342]	val's auc: 0.953762
[343]	val's auc: 0.953882
[344]	val's auc: 0.953999
[345]	val's auc: 0.954136
[346]	val's auc: 0.954283
[347]	val's auc: 0.9544
[348]	val's auc: 0.954491
[349]	val's auc: 0.954614
[350]	val's auc: 0.954725
[351]	val's auc: 0.954878
[352]	val's auc: 0.955
[353]	val's auc: 0.95515
[354]	val's auc: 0.955257
[355]	val's auc: 0.955366
[356]	val's auc: 0.955467
[357]	val's auc: 0.955547
[358]	val's auc: 0.955644
[359]	val's auc: 0.955746
[360]	val's auc: 0.955868
[361]	val's auc: 0.955978
[362]	val's auc: 0.956054
[363]	val's auc: 0.956186
[364]	val's auc: 0.956299
[365]	val's auc: 0.956359
[366]	val's auc: 0.956468
[367]	val's auc: 0.956558
[368]	val's auc: 0.956656
[369]	val's auc: 0.956745
[370]	val's auc: 0.956837
[371]	val's auc: 0.956918
[372]	val's auc: 0.957013
[373]	val's auc: 0.95714
[374]	val's auc: 0.957232
[375]	val's auc: 0.957352
[376]	val's auc: 0.9575
[377]	val's auc: 0.957585
[378]	val's auc: 0.957639
[379]	val's auc: 0.957728
[380]	val's auc: 0.957863
[381]	val's auc: 0.957953
[382]	val's auc: 0.958092
[383]	val's auc: 0.958184
[384]	val's auc: 0.958297
[385]	val's auc: 0.958369
[386]	val's auc: 0.958427
[387]	val's auc: 0.958527
[388]	val's auc: 0.958624
[389]	val's auc: 0.958722
[390]	val's auc: 0.958822
[391]	val's auc: 0.958917
[392]	val's auc: 0.958986
[393]	val's auc: 0.959105
[394]	val's auc: 0.959221
[395]	val's auc: 0.959282
[396]	val's auc: 0.959318
[397]	val's auc: 0.959421
[398]	val's auc: 0.959504
[399]	val's auc: 0.959579
[400]	val's auc: 0.959661
[401]	val's auc: 0.959756
[402]	val's auc: 0.959862
[403]	val's auc: 0.959942
[404]	val's auc: 0.96003
[405]	val's auc: 0.960101
[406]	val's auc: 0.960181
[407]	val's auc: 0.960301
[408]	val's auc: 0.960412
[409]	val's auc: 0.960509
[410]	val's auc: 0.960578
[411]	val's auc: 0.960684
[412]	val's auc: 0.960762
[413]	val's auc: 0.960868
[414]	val's auc: 0.960956
[415]	val's auc: 0.96103
[416]	val's auc: 0.961109
[417]	val's auc: 0.961173
[418]	val's auc: 0.961296
[419]	val's auc: 0.961381
[420]	val's auc: 0.961495
[421]	val's auc: 0.961585
[422]	val's auc: 0.961648
[423]	val's auc: 0.961706
[424]	val's auc: 0.961774
[425]	val's auc: 0.961874
[426]	val's auc: 0.961946
[427]	val's auc: 0.962044
[428]	val's auc: 0.962168
[429]	val's auc: 0.962251
[430]	val's auc: 0.962351
[431]	val's auc: 0.962441
[432]	val's auc: 0.96252
[433]	val's auc: 0.962578
[434]	val's auc: 0.962672
[435]	val's auc: 0.962733
[436]	val's auc: 0.962827
[437]	val's auc: 0.962899
[438]	val's auc: 0.962978
[439]	val's auc: 0.963069
[440]	val's auc: 0.963143
[441]	val's auc: 0.963236
[442]	val's auc: 0.963329
[443]	val's auc: 0.963412
[444]	val's auc: 0.963484
[445]	val's auc: 0.963549
[446]	val's auc: 0.963635
[447]	val's auc: 0.963724
[448]	val's auc: 0.963806
[449]	val's auc: 0.963888
[450]	val's auc: 0.963978
[451]	val's auc: 0.96405
[452]	val's auc: 0.964127
[453]	val's auc: 0.964198
[454]	val's auc: 0.964314
[455]	val's auc: 0.964413
[456]	val's auc: 0.964499
[457]	val's auc: 0.964593
[458]	val's auc: 0.964658
[459]	val's auc: 0.964717
[460]	val's auc: 0.964774
[461]	val's auc: 0.964833
[462]	val's auc: 0.96491
[463]	val's auc: 0.964966
[464]	val's auc: 0.965026
[465]	val's auc: 0.965075
[466]	val's auc: 0.965176
[467]	val's auc: 0.96523
[468]	val's auc: 0.965288
[469]	val's auc: 0.965373
[470]	val's auc: 0.965486
[471]	val's auc: 0.965542
[472]	val's auc: 0.965605
[473]	val's auc: 0.965698
[474]	val's auc: 0.965778
[475]	val's auc: 0.965836
[476]	val's auc: 0.965904
[477]	val's auc: 0.965952
[478]	val's auc: 0.966046
[479]	val's auc: 0.9661
[480]	val's auc: 0.966174
[481]	val's auc: 0.966246
[482]	val's auc: 0.966284
[483]	val's auc: 0.966346
[484]	val's auc: 0.966409
[485]	val's auc: 0.966512
[486]	val's auc: 0.966575
[487]	val's auc: 0.966638
[488]	val's auc: 0.966694
[489]	val's auc: 0.966762
[490]	val's auc: 0.966873
[491]	val's auc: 0.966935
[492]	val's auc: 0.966987
[493]	val's auc: 0.96702
[494]	val's auc: 0.967111
[495]	val's auc: 0.967202
[496]	val's auc: 0.967276
[497]	val's auc: 0.967356
[498]	val's auc: 0.967416
[499]	val's auc: 0.967455
[500]	val's auc: 0.967524
[501]	val's auc: 0.967595
[502]	val's auc: 0.967686
[503]	val's auc: 0.967746
[504]	val's auc: 0.967822
[505]	val's auc: 0.967898
[506]	val's auc: 0.967958
[507]	val's auc: 0.968009
[508]	val's auc: 0.968071
[509]	val's auc: 0.968143
[510]	val's auc: 0.968186
[511]	val's auc: 0.968259
[512]	val's auc: 0.968319
[513]	val's auc: 0.96837
[514]	val's auc: 0.968419
[515]	val's auc: 0.968498
[516]	val's auc: 0.968552
[517]	val's auc: 0.968612
[518]	val's auc: 0.968678
[519]	val's auc: 0.968747
[520]	val's auc: 0.968825
[521]	val's auc: 0.968868
[522]	val's auc: 0.968913
[523]	val's auc: 0.969
[524]	val's auc: 0.969073
[525]	val's auc: 0.969151
[526]	val's auc: 0.969227
[527]	val's auc: 0.969312
[528]	val's auc: 0.96938
[529]	val's auc: 0.969418
[530]	val's auc: 0.969474
[531]	val's auc: 0.96953
[532]	val's auc: 0.969587
[533]	val's auc: 0.969641
[534]	val's auc: 0.969696
[535]	val's auc: 0.969742
[536]	val's auc: 0.969833
[537]	val's auc: 0.969892
[538]	val's auc: 0.969954
[539]	val's auc: 0.970042
[540]	val's auc: 0.970081
[541]	val's auc: 0.970147
[542]	val's auc: 0.970235
[543]	val's auc: 0.970279
[544]	val's auc: 0.970329
[545]	val's auc: 0.970403
[546]	val's auc: 0.970444
[547]	val's auc: 0.970526
[548]	val's auc: 0.970634
[549]	val's auc: 0.97067
[550]	val's auc: 0.970743
[551]	val's auc: 0.9708
[552]	val's auc: 0.970858
[553]	val's auc: 0.970888
[554]	val's auc: 0.970928
[555]	val's auc: 0.970979
[556]	val's auc: 0.971029
[557]	val's auc: 0.971082
[558]	val's auc: 0.971156
[559]	val's auc: 0.971233
[560]	val's auc: 0.971306
[561]	val's auc: 0.971345
[562]	val's auc: 0.971377
[563]	val's auc: 0.971409
[564]	val's auc: 0.971485
[565]	val's auc: 0.97153
[566]	val's auc: 0.97159
[567]	val's auc: 0.97166
[568]	val's auc: 0.971743
[569]	val's auc: 0.971793
[570]	val's auc: 0.971879
[571]	val's auc: 0.971929
[572]	val's auc: 0.971986
[573]	val's auc: 0.972075
[574]	val's auc: 0.972121
[575]	val's auc: 0.972163
[576]	val's auc: 0.972196
[577]	val's auc: 0.972241
[578]	val's auc: 0.972324
[579]	val's auc: 0.972394
[580]	val's auc: 0.972438
[581]	val's auc: 0.972478
[582]	val's auc: 0.972574
[583]	val's auc: 0.972621
[584]	val's auc: 0.972686
[585]	val's auc: 0.972745
[586]	val's auc: 0.972822
[587]	val's auc: 0.97288
[588]	val's auc: 0.972942
[589]	val's auc: 0.972999
[590]	val's auc: 0.973035
[591]	val's auc: 0.973107
[592]	val's auc: 0.973163
[593]	val's auc: 0.97323
[594]	val's auc: 0.973261
[595]	val's auc: 0.973337
[596]	val's auc: 0.973415
[597]	val's auc: 0.973441
[598]	val's auc: 0.973483
[599]	val's auc: 0.973544
[600]	val's auc: 0.973584
[601]	val's auc: 0.97363
[602]	val's auc: 0.973688
[603]	val's auc: 0.973729
[604]	val's auc: 0.973789
[605]	val's auc: 0.973821
[606]	val's auc: 0.973868
[607]	val's auc: 0.97393
[608]	val's auc: 0.973991
[609]	val's auc: 0.974042
[610]	val's auc: 0.974085
[611]	val's auc: 0.974129
[612]	val's auc: 0.974175
[613]	val's auc: 0.974226
[614]	val's auc: 0.97429
[615]	val's auc: 0.97432
[616]	val's auc: 0.974399
[617]	val's auc: 0.974433
[618]	val's auc: 0.9745
[619]	val's auc: 0.974582
[620]	val's auc: 0.974603
[621]	val's auc: 0.974648
[622]	val's auc: 0.974687
[623]	val's auc: 0.974756
[624]	val's auc: 0.97479
[625]	val's auc: 0.974845
[626]	val's auc: 0.974917
[627]	val's auc: 0.974969
[628]	val's auc: 0.975017
[629]	val's auc: 0.975071
[630]	val's auc: 0.975095
[631]	val's auc: 0.975154
[632]	val's auc: 0.975188
[633]	val's auc: 0.975233
[634]	val's auc: 0.975288
[635]	val's auc: 0.975347
[636]	val's auc: 0.975404
[637]	val's auc: 0.975461
[638]	val's auc: 0.975534
[639]	val's auc: 0.975562
[640]	val's auc: 0.975589
[641]	val's auc: 0.975619
[642]	val's auc: 0.97567
[643]	val's auc: 0.975718
[644]	val's auc: 0.975754
[645]	val's auc: 0.975807
[646]	val's auc: 0.975845
[647]	val's auc: 0.975896
[648]	val's auc: 0.975956
[649]	val's auc: 0.976002
[650]	val's auc: 0.976067
[651]	val's auc: 0.976119
[652]	val's auc: 0.976174
[653]	val's auc: 0.97622
[654]	val's auc: 0.976241
[655]	val's auc: 0.976289
[656]	val's auc: 0.976345
[657]	val's auc: 0.976401
[658]	val's auc: 0.976458
[659]	val's auc: 0.976505
[660]	val's auc: 0.976555
[661]	val's auc: 0.976572
[662]	val's auc: 0.976615
[663]	val's auc: 0.976661
[664]	val's auc: 0.976697
[665]	val's auc: 0.976729
[666]	val's auc: 0.976768
[667]	val's auc: 0.976818
[668]	val's auc: 0.976895
[669]	val's auc: 0.976936
[670]	val's auc: 0.976981
[671]	val's auc: 0.977044
[672]	val's auc: 0.977078
[673]	val's auc: 0.977122
[674]	val's auc: 0.977169
[675]	val's auc: 0.977205
[676]	val's auc: 0.977262
[677]	val's auc: 0.977295
[678]	val's auc: 0.977345
[679]	val's auc: 0.977382
[680]	val's auc: 0.977426
[681]	val's auc: 0.97748
[682]	val's auc: 0.977521
[683]	val's auc: 0.977585
[684]	val's auc: 0.977645
[685]	val's auc: 0.977689
[686]	val's auc: 0.977729
[687]	val's auc: 0.977783
[688]	val's auc: 0.977826
[689]	val's auc: 0.977882
[690]	val's auc: 0.977912
[691]	val's auc: 0.977937
[692]	val's auc: 0.977986
[693]	val's auc: 0.978054
[694]	val's auc: 0.978076
[695]	val's auc: 0.97811
[696]	val's auc: 0.978172
[697]	val's auc: 0.978216
[698]	val's auc: 0.978235
[699]	val's auc: 0.978284
[700]	val's auc: 0.978334
[701]	val's auc: 0.978384
[702]	val's auc: 0.978453
[703]	val's auc: 0.978505
[704]	val's auc: 0.978572
[705]	val's auc: 0.978636
[706]	val's auc: 0.978686
[707]	val's auc: 0.978746
[708]	val's auc: 0.978791
[709]	val's auc: 0.978839
[710]	val's auc: 0.978898
[711]	val's auc: 0.978947
[712]	val's auc: 0.978974
[713]	val's auc: 0.979015
[714]	val's auc: 0.979044
[715]	val's auc: 0.979078
[716]	val's auc: 0.979116
[717]	val's auc: 0.979137
[718]	val's auc: 0.979203
[719]	val's auc: 0.979246
[720]	val's auc: 0.979302
[721]	val's auc: 0.979348
[722]	val's auc: 0.979409
[723]	val's auc: 0.979469
[724]	val's auc: 0.979502
[725]	val's auc: 0.97953
[726]	val's auc: 0.979591
[727]	val's auc: 0.979635
[728]	val's auc: 0.979697
[729]	val's auc: 0.979726
[730]	val's auc: 0.979757
[731]	val's auc: 0.979785
[732]	val's auc: 0.979828
[733]	val's auc: 0.979847
[734]	val's auc: 0.979908
[735]	val's auc: 0.979948
[736]	val's auc: 0.979996
[737]	val's auc: 0.980052
[738]	val's auc: 0.980096
[739]	val's auc: 0.980122
[740]	val's auc: 0.980156
[741]	val's auc: 0.980196
[742]	val's auc: 0.980239
[743]	val's auc: 0.98028
[744]	val's auc: 0.980309
[745]	val's auc: 0.980349
[746]	val's auc: 0.980384
[747]	val's auc: 0.980409
[748]	val's auc: 0.980434
[749]	val's auc: 0.980485
[750]	val's auc: 0.980517
[751]	val's auc: 0.980567
[752]	val's auc: 0.980585
[753]	val's auc: 0.980607
[754]	val's auc: 0.980652
[755]	val's auc: 0.980697
[756]	val's auc: 0.98074
[757]	val's auc: 0.980781
[758]	val's auc: 0.980813
[759]	val's auc: 0.98084
[760]	val's auc: 0.98091
[761]	val's auc: 0.98093
[762]	val's auc: 0.980963
[763]	val's auc: 0.981009
[764]	val's auc: 0.981075
[765]	val's auc: 0.98112
[766]	val's auc: 0.981176
[767]	val's auc: 0.981201
[768]	val's auc: 0.981229
[769]	val's auc: 0.981255
[770]	val's auc: 0.981303
[771]	val's auc: 0.981341
[772]	val's auc: 0.981368
[773]	val's auc: 0.981391
[774]	val's auc: 0.981432
[775]	val's auc: 0.981479
[776]	val's auc: 0.981532
[777]	val's auc: 0.981557
[778]	val's auc: 0.981595
[779]	val's auc: 0.981632
[780]	val's auc: 0.981679
[781]	val's auc: 0.981734
[782]	val's auc: 0.981786
[783]	val's auc: 0.981818
[784]	val's auc: 0.98185
[785]	val's auc: 0.981895
[786]	val's auc: 0.981931
[787]	val's auc: 0.981971
[788]	val's auc: 0.981998
[789]	val's auc: 0.982012
[790]	val's auc: 0.98206
[791]	val's auc: 0.982078
[792]	val's auc: 0.982122
[793]	val's auc: 0.982148
[794]	val's auc: 0.982178
[795]	val's auc: 0.982224
[796]	val's auc: 0.982251
[797]	val's auc: 0.98229
[798]	val's auc: 0.98231
[799]	val's auc: 0.982352
[800]	val's auc: 0.982398
[801]	val's auc: 0.982435
[802]	val's auc: 0.982472
[803]	val's auc: 0.982497
[804]	val's auc: 0.98253
[805]	val's auc: 0.982543
[806]	val's auc: 0.982596
[807]	val's auc: 0.982627
[808]	val's auc: 0.982654
[809]	val's auc: 0.982682
[810]	val's auc: 0.982732
[811]	val's auc: 0.98276
[812]	val's auc: 0.982804
[813]	val's auc: 0.982854
[814]	val's auc: 0.982897
[815]	val's auc: 0.982927
[816]	val's auc: 0.982966
[817]	val's auc: 0.983001
[818]	val's auc: 0.983037
[819]	val's auc: 0.983074
[820]	val's auc: 0.983111
[821]	val's auc: 0.983152
[822]	val's auc: 0.983177
[823]	val's auc: 0.983217
[824]	val's auc: 0.983251
[825]	val's auc: 0.983276
[826]	val's auc: 0.983302
[827]	val's auc: 0.983333
[828]	val's auc: 0.983355
[829]	val's auc: 0.983384
[830]	val's auc: 0.98339
[831]	val's auc: 0.983425
[832]	val's auc: 0.983459
[833]	val's auc: 0.983505
[834]	val's auc: 0.983536
[835]	val's auc: 0.983568
[836]	val's auc: 0.983612
[837]	val's auc: 0.983643
[838]	val's auc: 0.98367
[839]	val's auc: 0.983695
[840]	val's auc: 0.983723
[841]	val's auc: 0.983753
[842]	val's auc: 0.98379
[843]	val's auc: 0.983824
[844]	val's auc: 0.983855
[845]	val's auc: 0.983881
[846]	val's auc: 0.983915
[847]	val's auc: 0.983941
[848]	val's auc: 0.983976
[849]	val's auc: 0.984026
[850]	val's auc: 0.984063
[851]	val's auc: 0.984096
[852]	val's auc: 0.984119
[853]	val's auc: 0.984161
[854]	val's auc: 0.984206
[855]	val's auc: 0.984225
[856]	val's auc: 0.984262
[857]	val's auc: 0.984284
[858]	val's auc: 0.984325
[859]	val's auc: 0.984358
[860]	val's auc: 0.984402
[861]	val's auc: 0.984435
[862]	val's auc: 0.984475
[863]	val's auc: 0.984504
[864]	val's auc: 0.984517
[865]	val's auc: 0.984553
[866]	val's auc: 0.984579
