/opt/conda/lib/python3.7/site-packages/lightgbm/engine.py:151: UserWarning: Found `n_estimators` in params. Will use it instead of argument
  warnings.warn("Found `{}` in params. Will use it instead of argument".format(alias))
[LightGBM] [Info] Number of positive: 19698, number of negative: 71411
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.036258 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 26083
[LightGBM] [Info] Number of data points in the train set: 91109, number of used features: 178
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1286: UserWarning: Overriding the parameters from Reference Dataset.
  warnings.warn('Overriding the parameters from Reference Dataset.')
/opt/conda/lib/python3.7/site-packages/lightgbm/basic.py:1098: UserWarning: categorical_column in param dict is overridden.
  warnings.warn('{} in param dict is overridden.'.format(cat_alias))
[LightGBM] [Info] [binary:BoostFromScore]: pavg=0.216203 -> initscore=-1.287935
[LightGBM] [Info] Start training from score -1.287935
[168]	auc's auc: 0.861383
[169]	auc's auc: 0.861549
[170]	auc's auc: 0.861576
[171]	auc's auc: 0.861608
[172]	auc's auc: 0.86165
[173]	auc's auc: 0.861697
[174]	auc's auc: 0.86174
[175]	auc's auc: 0.861744
[176]	auc's auc: 0.861845
[177]	auc's auc: 0.861852
[178]	auc's auc: 0.861883
[179]	auc's auc: 0.861876
[180]	auc's auc: 0.861887
[181]	auc's auc: 0.861909
[182]	auc's auc: 0.861938
[183]	auc's auc: 0.862021
[184]	auc's auc: 0.862097
[185]	auc's auc: 0.862092
[186]	auc's auc: 0.862102
[187]	auc's auc: 0.862119
[188]	auc's auc: 0.862175
[189]	auc's auc: 0.862222
[190]	auc's auc: 0.862232
[191]	auc's auc: 0.86223
[192]	auc's auc: 0.862225
[193]	auc's auc: 0.862232
[194]	auc's auc: 0.86225
[195]	auc's auc: 0.862302
[196]	auc's auc: 0.86235
[197]	auc's auc: 0.862463
[198]	auc's auc: 0.862471
[199]	auc's auc: 0.862457
[200]	auc's auc: 0.86245
[201]	auc's auc: 0.862482
[202]	auc's auc: 0.862484
[203]	auc's auc: 0.862522
[204]	auc's auc: 0.862536
[205]	auc's auc: 0.86255
[206]	auc's auc: 0.862538
[207]	auc's auc: 0.862546
[208]	auc's auc: 0.862524
[209]	auc's auc: 0.862518
[210]	auc's auc: 0.862559
[211]	auc's auc: 0.862515
[212]	auc's auc: 0.862517
[213]	auc's auc: 0.862513
[214]	auc's auc: 0.862489
[215]	auc's auc: 0.862493
[216]	auc's auc: 0.862488
[217]	auc's auc: 0.862497
[218]	auc's auc: 0.862526
[219]	auc's auc: 0.862575
[220]	auc's auc: 0.862534
[221]	auc's auc: 0.862574
[222]	auc's auc: 0.862588
[223]	auc's auc: 0.862543
[224]	auc's auc: 0.862632
[225]	auc's auc: 0.862645
