/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:20:49] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.89296	test-auc:0.86030
[124]	train-auc:0.89310	test-auc:0.86037
[125]	train-auc:0.89333	test-auc:0.86038
[126]	train-auc:0.89345	test-auc:0.86046
[127]	train-auc:0.89367	test-auc:0.86058
[128]	train-auc:0.89390	test-auc:0.86072
[129]	train-auc:0.89402	test-auc:0.86077
[130]	train-auc:0.89422	test-auc:0.86085
[131]	train-auc:0.89443	test-auc:0.86093
[132]	train-auc:0.89455	test-auc:0.86100
[133]	train-auc:0.89482	test-auc:0.86107
[134]	train-auc:0.89504	test-auc:0.86111
[135]	train-auc:0.89525	test-auc:0.86116
[136]	train-auc:0.89541	test-auc:0.86125
[137]	train-auc:0.89554	test-auc:0.86133
[138]	train-auc:0.89561	test-auc:0.86140
[139]	train-auc:0.89592	test-auc:0.86152
[140]	train-auc:0.89617	test-auc:0.86160
[141]	train-auc:0.89633	test-auc:0.86166
[142]	train-auc:0.89656	test-auc:0.86171
[143]	train-auc:0.89695	test-auc:0.86183
[144]	train-auc:0.89714	test-auc:0.86186
[145]	train-auc:0.89727	test-auc:0.86194
[146]	train-auc:0.89747	test-auc:0.86203
[147]	train-auc:0.89764	test-auc:0.86211
[148]	train-auc:0.89786	test-auc:0.86217
[149]	train-auc:0.89811	test-auc:0.86226
[150]	train-auc:0.89836	test-auc:0.86226
[151]	train-auc:0.89846	test-auc:0.86231
[152]	train-auc:0.89863	test-auc:0.86228
[153]	train-auc:0.89880	test-auc:0.86229
[154]	train-auc:0.89894	test-auc:0.86235
[155]	train-auc:0.89900	test-auc:0.86240
[156]	train-auc:0.89913	test-auc:0.86245
[157]	train-auc:0.89942	test-auc:0.86244
[158]	train-auc:0.89959	test-auc:0.86250
[159]	train-auc:0.89974	test-auc:0.86260
[160]	train-auc:0.89990	test-auc:0.86265
[161]	train-auc:0.90017	test-auc:0.86269
[162]	train-auc:0.90031	test-auc:0.86276
[163]	train-auc:0.90036	test-auc:0.86280
[164]	train-auc:0.90054	test-auc:0.86284
[165]	train-auc:0.90064	test-auc:0.86290
[166]	train-auc:0.90075	test-auc:0.86294
[167]	train-auc:0.90080	test-auc:0.86300
[168]	train-auc:0.90097	test-auc:0.86308
[169]	train-auc:0.90106	test-auc:0.86314
[170]	train-auc:0.90119	test-auc:0.86322
[171]	train-auc:0.90131	test-auc:0.86322
[172]	train-auc:0.90149	test-auc:0.86330
[173]	train-auc:0.90160	test-auc:0.86333
[174]	train-auc:0.90170	test-auc:0.86331
[175]	train-auc:0.90182	test-auc:0.86337
[176]	train-auc:0.90198	test-auc:0.86342
[177]	train-auc:0.90213	test-auc:0.86351
[178]	train-auc:0.90219	test-auc:0.86355
[179]	train-auc:0.90234	test-auc:0.86355
[180]	train-auc:0.90244	test-auc:0.86356
[181]	train-auc:0.90254	test-auc:0.86363
[182]	train-auc:0.90268	test-auc:0.86369
[183]	train-auc:0.90283	test-auc:0.86372
[184]	train-auc:0.90296	test-auc:0.86372
[185]	train-auc:0.90306	test-auc:0.86374
[186]	train-auc:0.90319	test-auc:0.86376
[187]	train-auc:0.90328	test-auc:0.86382
[188]	train-auc:0.90350	test-auc:0.86390
[189]	train-auc:0.90362	test-auc:0.86396
[190]	train-auc:0.90378	test-auc:0.86405
[191]	train-auc:0.90392	test-auc:0.86414
