[21:40:46] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[128]	train-auc:0.90155	test-auc:0.90037
[129]	train-auc:0.90168	test-auc:0.90048
[130]	train-auc:0.90195	test-auc:0.90074
[131]	train-auc:0.90225	test-auc:0.90113
[132]	train-auc:0.90239	test-auc:0.90125
[133]	train-auc:0.90268	test-auc:0.90155
[134]	train-auc:0.90282	test-auc:0.90171
[135]	train-auc:0.90302	test-auc:0.90194
[136]	train-auc:0.90318	test-auc:0.90213
[137]	train-auc:0.90333	test-auc:0.90228
[138]	train-auc:0.90356	test-auc:0.90250
[139]	train-auc:0.90378	test-auc:0.90274
[140]	train-auc:0.90396	test-auc:0.90289
[141]	train-auc:0.90425	test-auc:0.90321
[142]	train-auc:0.90446	test-auc:0.90344
[143]	train-auc:0.90470	test-auc:0.90370
[144]	train-auc:0.90499	test-auc:0.90399
[145]	train-auc:0.90541	test-auc:0.90441
[146]	train-auc:0.90574	test-auc:0.90470
[147]	train-auc:0.90602	test-auc:0.90496
[148]	train-auc:0.90616	test-auc:0.90510
[149]	train-auc:0.90642	test-auc:0.90533
[150]	train-auc:0.90659	test-auc:0.90549
[151]	train-auc:0.90678	test-auc:0.90569
[152]	train-auc:0.90690	test-auc:0.90583
[153]	train-auc:0.90706	test-auc:0.90598
[154]	train-auc:0.90722	test-auc:0.90618
[155]	train-auc:0.90741	test-auc:0.90635
[156]	train-auc:0.90760	test-auc:0.90656
[157]	train-auc:0.90776	test-auc:0.90670
[158]	train-auc:0.90801	test-auc:0.90696
[159]	train-auc:0.90829	test-auc:0.90731
[160]	train-auc:0.90848	test-auc:0.90751
[161]	train-auc:0.90859	test-auc:0.90764
[162]	train-auc:0.90883	test-auc:0.90790
[163]	train-auc:0.90903	test-auc:0.90811
[164]	train-auc:0.90923	test-auc:0.90833
[165]	train-auc:0.90934	test-auc:0.90845
[166]	train-auc:0.90954	test-auc:0.90862
[167]	train-auc:0.90978	test-auc:0.90888
[168]	train-auc:0.91006	test-auc:0.90914
[169]	train-auc:0.91028	test-auc:0.90937
[170]	train-auc:0.91053	test-auc:0.90961
[171]	train-auc:0.91078	test-auc:0.90988
[172]	train-auc:0.91097	test-auc:0.91010
[173]	train-auc:0.91114	test-auc:0.91022
[174]	train-auc:0.91129	test-auc:0.91038
[175]	train-auc:0.91148	test-auc:0.91058
[176]	train-auc:0.91161	test-auc:0.91068
[177]	train-auc:0.91182	test-auc:0.91087
[178]	train-auc:0.91202	test-auc:0.91106
[179]	train-auc:0.91223	test-auc:0.91126
[180]	train-auc:0.91243	test-auc:0.91147
[181]	train-auc:0.91263	test-auc:0.91168
[182]	train-auc:0.91277	test-auc:0.91182
[183]	train-auc:0.91302	test-auc:0.91209
[184]	train-auc:0.91313	test-auc:0.91220
[185]	train-auc:0.91323	test-auc:0.91234
[186]	train-auc:0.91348	test-auc:0.91261
[187]	train-auc:0.91366	test-auc:0.91278
[188]	train-auc:0.91382	test-auc:0.91295
[189]	train-auc:0.91406	test-auc:0.91318
[190]	train-auc:0.91431	test-auc:0.91344
[191]	train-auc:0.91449	test-auc:0.91370
[192]	train-auc:0.91471	test-auc:0.91390
[193]	train-auc:0.91490	test-auc:0.91412
[194]	train-auc:0.91510	test-auc:0.91430
[195]	train-auc:0.91517	test-auc:0.91439
[196]	train-auc:0.91537	test-auc:0.91457
[197]	train-auc:0.91558	test-auc:0.91475
[198]	train-auc:0.91568	test-auc:0.91485
[199]	train-auc:0.91593	test-auc:0.91509
[200]	train-auc:0.91610	test-auc:0.91528
[201]	train-auc:0.91631	test-auc:0.91552
[202]	train-auc:0.91646	test-auc:0.91566
[203]	train-auc:0.91653	test-auc:0.91575
[204]	train-auc:0.91670	test-auc:0.91590
[205]	train-auc:0.91683	test-auc:0.91607
[206]	train-auc:0.91695	test-auc:0.91619
[207]	train-auc:0.91722	test-auc:0.91642
[208]	train-auc:0.91740	test-auc:0.91661
[209]	train-auc:0.91770	test-auc:0.91697
[210]	train-auc:0.91785	test-auc:0.91712
[211]	train-auc:0.91799	test-auc:0.91725
[212]	train-auc:0.91817	test-auc:0.91743
[213]	train-auc:0.91849	test-auc:0.91772
[214]	train-auc:0.91874	test-auc:0.91795
[215]	train-auc:0.91894	test-auc:0.91813
[216]	train-auc:0.91905	test-auc:0.91822
[217]	train-auc:0.91931	test-auc:0.91844
[218]	train-auc:0.91947	test-auc:0.91860
[219]	train-auc:0.91958	test-auc:0.91870
[220]	train-auc:0.91978	test-auc:0.91888
[221]	train-auc:0.91989	test-auc:0.91897
[222]	train-auc:0.92003	test-auc:0.91912
[223]	train-auc:0.92018	test-auc:0.91928
[224]	train-auc:0.92040	test-auc:0.91948
[225]	train-auc:0.92056	test-auc:0.91967
[226]	train-auc:0.92066	test-auc:0.91978
[227]	train-auc:0.92093	test-auc:0.92006
[228]	train-auc:0.92104	test-auc:0.92018
[229]	train-auc:0.92119	test-auc:0.92031
[230]	train-auc:0.92141	test-auc:0.92050
[231]	train-auc:0.92156	test-auc:0.92066
[232]	train-auc:0.92167	test-auc:0.92076
[233]	train-auc:0.92195	test-auc:0.92100
[234]	train-auc:0.92215	test-auc:0.92118
[235]	train-auc:0.92234	test-auc:0.92138
[236]	train-auc:0.92251	test-auc:0.92153
[237]	train-auc:0.92272	test-auc:0.92171
[238]	train-auc:0.92283	test-auc:0.92184
[239]	train-auc:0.92293	test-auc:0.92194
[240]	train-auc:0.92313	test-auc:0.92214
[241]	train-auc:0.92319	test-auc:0.92222
[242]	train-auc:0.92331	test-auc:0.92232
[243]	train-auc:0.92350	test-auc:0.92248
[244]	train-auc:0.92370	test-auc:0.92268
[245]	train-auc:0.92382	test-auc:0.92279
[246]	train-auc:0.92394	test-auc:0.92291
[247]	train-auc:0.92407	test-auc:0.92304
[248]	train-auc:0.92415	test-auc:0.92312
[249]	train-auc:0.92436	test-auc:0.92330
[250]	train-auc:0.92451	test-auc:0.92345
[251]	train-auc:0.92476	test-auc:0.92373
[252]	train-auc:0.92488	test-auc:0.92384
[253]	train-auc:0.92504	test-auc:0.92398
[254]	train-auc:0.92522	test-auc:0.92416
[255]	train-auc:0.92540	test-auc:0.92433
[256]	train-auc:0.92553	test-auc:0.92443
[257]	train-auc:0.92566	test-auc:0.92458
[258]	train-auc:0.92586	test-auc:0.92480
[259]	train-auc:0.92605	test-auc:0.92498
[260]	train-auc:0.92611	test-auc:0.92506
[261]	train-auc:0.92626	test-auc:0.92526
[262]	train-auc:0.92642	test-auc:0.92545
[263]	train-auc:0.92656	test-auc:0.92565
[264]	train-auc:0.92676	test-auc:0.92586
[265]	train-auc:0.92683	test-auc:0.92594
[266]	train-auc:0.92699	test-auc:0.92610
[267]	train-auc:0.92715	test-auc:0.92629
[268]	train-auc:0.92724	test-auc:0.92637
[269]	train-auc:0.92749	test-auc:0.92660
[270]	train-auc:0.92762	test-auc:0.92671
[271]	train-auc:0.92779	test-auc:0.92690
[272]	train-auc:0.92785	test-auc:0.92695
[273]	train-auc:0.92795	test-auc:0.92708
[274]	train-auc:0.92811	test-auc:0.92724
[275]	train-auc:0.92827	test-auc:0.92739
[276]	train-auc:0.92845	test-auc:0.92754
[277]	train-auc:0.92863	test-auc:0.92770
[278]	train-auc:0.92869	test-auc:0.92777
[279]	train-auc:0.92887	test-auc:0.92794
[280]	train-auc:0.92893	test-auc:0.92802
[281]	train-auc:0.92903	test-auc:0.92813
[282]	train-auc:0.92911	test-auc:0.92821
[283]	train-auc:0.92926	test-auc:0.92841
[284]	train-auc:0.92938	test-auc:0.92853
[285]	train-auc:0.92958	test-auc:0.92875
[286]	train-auc:0.92972	test-auc:0.92892
[287]	train-auc:0.92988	test-auc:0.92908
[288]	train-auc:0.92997	test-auc:0.92917
[289]	train-auc:0.93008	test-auc:0.92931
[290]	train-auc:0.93018	test-auc:0.92940
[291]	train-auc:0.93035	test-auc:0.92959
[292]	train-auc:0.93041	test-auc:0.92965
[293]	train-auc:0.93061	test-auc:0.92988
[294]	train-auc:0.93072	test-auc:0.92997
[295]	train-auc:0.93079	test-auc:0.93003
[296]	train-auc:0.93098	test-auc:0.93022
[297]	train-auc:0.93109	test-auc:0.93032
[298]	train-auc:0.93125	test-auc:0.93048
[299]	train-auc:0.93133	test-auc:0.93054
[300]	train-auc:0.93138	test-auc:0.93057
[301]	train-auc:0.93143	test-auc:0.93063
[302]	train-auc:0.93150	test-auc:0.93071
[303]	train-auc:0.93168	test-auc:0.93087
[304]	train-auc:0.93190	test-auc:0.93114
[305]	train-auc:0.93205	test-auc:0.93127
[306]	train-auc:0.93225	test-auc:0.93145
[307]	train-auc:0.93229	test-auc:0.93149
[308]	train-auc:0.93234	test-auc:0.93157
[309]	train-auc:0.93242	test-auc:0.93162
[310]	train-auc:0.93249	test-auc:0.93169
[311]	train-auc:0.93261	test-auc:0.93180
[312]	train-auc:0.93276	test-auc:0.93196
[313]	train-auc:0.93291	test-auc:0.93213
[314]	train-auc:0.93300	test-auc:0.93224
[315]	train-auc:0.93316	test-auc:0.93243
[316]	train-auc:0.93322	test-auc:0.93248
[317]	train-auc:0.93338	test-auc:0.93266
[318]	train-auc:0.93348	test-auc:0.93276
[319]	train-auc:0.93365	test-auc:0.93292
[320]	train-auc:0.93383	test-auc:0.93311
[321]	train-auc:0.93394	test-auc:0.93323
[322]	train-auc:0.93407	test-auc:0.93335
[323]	train-auc:0.93412	test-auc:0.93339
[324]	train-auc:0.93427	test-auc:0.93353
[325]	train-auc:0.93444	test-auc:0.93372
[326]	train-auc:0.93461	test-auc:0.93388
[327]	train-auc:0.93468	test-auc:0.93396
[328]	train-auc:0.93490	test-auc:0.93418
[329]	train-auc:0.93500	test-auc:0.93430
[330]	train-auc:0.93504	test-auc:0.93436
[331]	train-auc:0.93520	test-auc:0.93450
[332]	train-auc:0.93533	test-auc:0.93461
[333]	train-auc:0.93548	test-auc:0.93476
[334]	train-auc:0.93562	test-auc:0.93490
[335]	train-auc:0.93579	test-auc:0.93506
[336]	train-auc:0.93593	test-auc:0.93519
[337]	train-auc:0.93600	test-auc:0.93527
[338]	train-auc:0.93617	test-auc:0.93546
[339]	train-auc:0.93627	test-auc:0.93557
[340]	train-auc:0.93636	test-auc:0.93561
[341]	train-auc:0.93642	test-auc:0.93567
[342]	train-auc:0.93649	test-auc:0.93572
[343]	train-auc:0.93658	test-auc:0.93580
[344]	train-auc:0.93667	test-auc:0.93588
[345]	train-auc:0.93676	test-auc:0.93599
[346]	train-auc:0.93685	test-auc:0.93609
[347]	train-auc:0.93691	test-auc:0.93617
[348]	train-auc:0.93710	test-auc:0.93637
[349]	train-auc:0.93721	test-auc:0.93646
[350]	train-auc:0.93735	test-auc:0.93662
[351]	train-auc:0.93742	test-auc:0.93669
[352]	train-auc:0.93753	test-auc:0.93679
[353]	train-auc:0.93765	test-auc:0.93687
[354]	train-auc:0.93779	test-auc:0.93702
[355]	train-auc:0.93785	test-auc:0.93710
[356]	train-auc:0.93795	test-auc:0.93722
[357]	train-auc:0.93810	test-auc:0.93736
[358]	train-auc:0.93825	test-auc:0.93751
[359]	train-auc:0.93839	test-auc:0.93766
[360]	train-auc:0.93848	test-auc:0.93774
[361]	train-auc:0.93859	test-auc:0.93786
[362]	train-auc:0.93863	test-auc:0.93790
[363]	train-auc:0.93873	test-auc:0.93798
[364]	train-auc:0.93878	test-auc:0.93803
[365]	train-auc:0.93881	test-auc:0.93805
[366]	train-auc:0.93887	test-auc:0.93810
[367]	train-auc:0.93898	test-auc:0.93824
[368]	train-auc:0.93907	test-auc:0.93833
[369]	train-auc:0.93918	test-auc:0.93842
[370]	train-auc:0.93926	test-auc:0.93850
[371]	train-auc:0.93939	test-auc:0.93864
[372]	train-auc:0.93954	test-auc:0.93879
[373]	train-auc:0.93962	test-auc:0.93889
[374]	train-auc:0.93971	test-auc:0.93897
[375]	train-auc:0.93982	test-auc:0.93911
[376]	train-auc:0.93987	test-auc:0.93917
[377]	train-auc:0.94001	test-auc:0.93930
[378]	train-auc:0.94009	test-auc:0.93937
[379]	train-auc:0.94032	test-auc:0.93961
[380]	train-auc:0.94041	test-auc:0.93972
[381]	train-auc:0.94049	test-auc:0.93979
[382]	train-auc:0.94064	test-auc:0.93991
[383]	train-auc:0.94077	test-auc:0.94007
[384]	train-auc:0.94093	test-auc:0.94023
[385]	train-auc:0.94097	test-auc:0.94029
[386]	train-auc:0.94115	test-auc:0.94043
[387]	train-auc:0.94127	test-auc:0.94055
[388]	train-auc:0.94146	test-auc:0.94073
[389]	train-auc:0.94158	test-auc:0.94084
[390]	train-auc:0.94167	test-auc:0.94094
[391]	train-auc:0.94175	test-auc:0.94102
[392]	train-auc:0.94179	test-auc:0.94105
[393]	train-auc:0.94187	test-auc:0.94110
[394]	train-auc:0.94198	test-auc:0.94123
[395]	train-auc:0.94214	test-auc:0.94141
[396]	train-auc:0.94222	test-auc:0.94149
[397]	train-auc:0.94230	test-auc:0.94157
[398]	train-auc:0.94242	test-auc:0.94168
[399]	train-auc:0.94245	test-auc:0.94173
[400]	train-auc:0.94252	test-auc:0.94182
[401]	train-auc:0.94261	test-auc:0.94189
[402]	train-auc:0.94274	test-auc:0.94199
[403]	train-auc:0.94285	test-auc:0.94214
[404]	train-auc:0.94296	test-auc:0.94228
[405]	train-auc:0.94314	test-auc:0.94246
[406]	train-auc:0.94330	test-auc:0.94261
[407]	train-auc:0.94339	test-auc:0.94269
[408]	train-auc:0.94351	test-auc:0.94281
[409]	train-auc:0.94357	test-auc:0.94287
[410]	train-auc:0.94376	test-auc:0.94304
[411]	train-auc:0.94381	test-auc:0.94310
[412]	train-auc:0.94390	test-auc:0.94319
[413]	train-auc:0.94402	test-auc:0.94334
[414]	train-auc:0.94413	test-auc:0.94344
[415]	train-auc:0.94431	test-auc:0.94363
[416]	train-auc:0.94439	test-auc:0.94371
[417]	train-auc:0.94458	test-auc:0.94390
[418]	train-auc:0.94463	test-auc:0.94395
[419]	train-auc:0.94471	test-auc:0.94404
[420]	train-auc:0.94477	test-auc:0.94409
[421]	train-auc:0.94478	test-auc:0.94411
[422]	train-auc:0.94495	test-auc:0.94430
[423]	train-auc:0.94512	test-auc:0.94447
