[18:44:55] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[128]	train-auc:0.90355	test-auc:0.90252
[129]	train-auc:0.90378	test-auc:0.90273
[130]	train-auc:0.90425	test-auc:0.90319
[131]	train-auc:0.90455	test-auc:0.90346
[132]	train-auc:0.90476	test-auc:0.90367
[133]	train-auc:0.90501	test-auc:0.90389
[134]	train-auc:0.90536	test-auc:0.90421
[135]	train-auc:0.90555	test-auc:0.90444
[136]	train-auc:0.90579	test-auc:0.90468
[137]	train-auc:0.90599	test-auc:0.90489
[138]	train-auc:0.90629	test-auc:0.90517
[139]	train-auc:0.90652	test-auc:0.90541
[140]	train-auc:0.90682	test-auc:0.90567
[141]	train-auc:0.90719	test-auc:0.90603
[142]	train-auc:0.90748	test-auc:0.90631
[143]	train-auc:0.90768	test-auc:0.90653
[144]	train-auc:0.90790	test-auc:0.90676
[145]	train-auc:0.90817	test-auc:0.90704
[146]	train-auc:0.90840	test-auc:0.90731
[147]	train-auc:0.90858	test-auc:0.90750
[148]	train-auc:0.90882	test-auc:0.90776
[149]	train-auc:0.90911	test-auc:0.90804
[150]	train-auc:0.90941	test-auc:0.90829
[151]	train-auc:0.90963	test-auc:0.90856
[152]	train-auc:0.90979	test-auc:0.90874
[153]	train-auc:0.91002	test-auc:0.90900
[154]	train-auc:0.91024	test-auc:0.90926
[155]	train-auc:0.91060	test-auc:0.90958
[156]	train-auc:0.91071	test-auc:0.90969
[157]	train-auc:0.91095	test-auc:0.90995
[158]	train-auc:0.91118	test-auc:0.91017
[159]	train-auc:0.91133	test-auc:0.91032
[160]	train-auc:0.91154	test-auc:0.91051
[161]	train-auc:0.91173	test-auc:0.91070
[162]	train-auc:0.91185	test-auc:0.91083
[163]	train-auc:0.91197	test-auc:0.91096
[164]	train-auc:0.91216	test-auc:0.91115
[165]	train-auc:0.91242	test-auc:0.91142
[166]	train-auc:0.91260	test-auc:0.91164
[167]	train-auc:0.91276	test-auc:0.91181
[168]	train-auc:0.91311	test-auc:0.91214
[169]	train-auc:0.91334	test-auc:0.91238
[170]	train-auc:0.91353	test-auc:0.91261
[171]	train-auc:0.91370	test-auc:0.91279
[172]	train-auc:0.91407	test-auc:0.91322
[173]	train-auc:0.91432	test-auc:0.91346
[174]	train-auc:0.91446	test-auc:0.91360
[175]	train-auc:0.91472	test-auc:0.91387
[176]	train-auc:0.91494	test-auc:0.91411
[177]	train-auc:0.91503	test-auc:0.91420
[178]	train-auc:0.91511	test-auc:0.91429
[179]	train-auc:0.91526	test-auc:0.91441
[180]	train-auc:0.91544	test-auc:0.91458
[181]	train-auc:0.91580	test-auc:0.91493
[182]	train-auc:0.91600	test-auc:0.91515
[183]	train-auc:0.91619	test-auc:0.91535
[184]	train-auc:0.91641	test-auc:0.91556
[185]	train-auc:0.91656	test-auc:0.91572
[186]	train-auc:0.91670	test-auc:0.91587
[187]	train-auc:0.91690	test-auc:0.91607
[188]	train-auc:0.91717	test-auc:0.91634
[189]	train-auc:0.91748	test-auc:0.91667
[190]	train-auc:0.91760	test-auc:0.91679
[191]	train-auc:0.91775	test-auc:0.91694
[192]	train-auc:0.91794	test-auc:0.91718
[193]	train-auc:0.91809	test-auc:0.91734
[194]	train-auc:0.91824	test-auc:0.91751
[195]	train-auc:0.91834	test-auc:0.91762
[196]	train-auc:0.91851	test-auc:0.91778
[197]	train-auc:0.91863	test-auc:0.91790
[198]	train-auc:0.91877	test-auc:0.91804
[199]	train-auc:0.91888	test-auc:0.91816
[200]	train-auc:0.91900	test-auc:0.91829
[201]	train-auc:0.91911	test-auc:0.91839
[202]	train-auc:0.91928	test-auc:0.91856
[203]	train-auc:0.91949	test-auc:0.91878
[204]	train-auc:0.91970	test-auc:0.91900
[205]	train-auc:0.91985	test-auc:0.91916
[206]	train-auc:0.92014	test-auc:0.91947
[207]	train-auc:0.92041	test-auc:0.91974
[208]	train-auc:0.92060	test-auc:0.91992
[209]	train-auc:0.92075	test-auc:0.92005
[210]	train-auc:0.92090	test-auc:0.92022
[211]	train-auc:0.92102	test-auc:0.92033
[212]	train-auc:0.92116	test-auc:0.92050
[213]	train-auc:0.92135	test-auc:0.92072
[214]	train-auc:0.92153	test-auc:0.92092
[215]	train-auc:0.92169	test-auc:0.92108
[216]	train-auc:0.92186	test-auc:0.92126
[217]	train-auc:0.92203	test-auc:0.92142
[218]	train-auc:0.92228	test-auc:0.92168
[219]	train-auc:0.92251	test-auc:0.92192
[220]	train-auc:0.92272	test-auc:0.92213
[221]	train-auc:0.92287	test-auc:0.92229
[222]	train-auc:0.92304	test-auc:0.92245
[223]	train-auc:0.92315	test-auc:0.92258
[224]	train-auc:0.92327	test-auc:0.92272
[225]	train-auc:0.92334	test-auc:0.92279
[226]	train-auc:0.92345	test-auc:0.92289
[227]	train-auc:0.92370	test-auc:0.92312
[228]	train-auc:0.92392	test-auc:0.92336
[229]	train-auc:0.92411	test-auc:0.92355
[230]	train-auc:0.92435	test-auc:0.92378
[231]	train-auc:0.92443	test-auc:0.92389
[232]	train-auc:0.92459	test-auc:0.92406
[233]	train-auc:0.92474	test-auc:0.92421
[234]	train-auc:0.92495	test-auc:0.92444
[235]	train-auc:0.92519	test-auc:0.92471
[236]	train-auc:0.92529	test-auc:0.92479
[237]	train-auc:0.92549	test-auc:0.92501
[238]	train-auc:0.92562	test-auc:0.92512
[239]	train-auc:0.92570	test-auc:0.92521
[240]	train-auc:0.92582	test-auc:0.92534
[241]	train-auc:0.92588	test-auc:0.92540
[242]	train-auc:0.92602	test-auc:0.92554
[243]	train-auc:0.92614	test-auc:0.92564
[244]	train-auc:0.92631	test-auc:0.92583
[245]	train-auc:0.92646	test-auc:0.92598
[246]	train-auc:0.92668	test-auc:0.92624
[247]	train-auc:0.92687	test-auc:0.92645
[248]	train-auc:0.92700	test-auc:0.92658
[249]	train-auc:0.92719	test-auc:0.92678
[250]	train-auc:0.92736	test-auc:0.92696
[251]	train-auc:0.92747	test-auc:0.92707
[252]	train-auc:0.92765	test-auc:0.92723
[253]	train-auc:0.92778	test-auc:0.92738
[254]	train-auc:0.92788	test-auc:0.92748
[255]	train-auc:0.92810	test-auc:0.92769
[256]	train-auc:0.92820	test-auc:0.92778
[257]	train-auc:0.92833	test-auc:0.92792
[258]	train-auc:0.92845	test-auc:0.92807
[259]	train-auc:0.92851	test-auc:0.92814
[260]	train-auc:0.92872	test-auc:0.92834
[261]	train-auc:0.92889	test-auc:0.92849
[262]	train-auc:0.92902	test-auc:0.92861
[263]	train-auc:0.92908	test-auc:0.92867
[264]	train-auc:0.92929	test-auc:0.92889
[265]	train-auc:0.92945	test-auc:0.92903
[266]	train-auc:0.92954	test-auc:0.92914
[267]	train-auc:0.92965	test-auc:0.92925
[268]	train-auc:0.92982	test-auc:0.92939
[269]	train-auc:0.92991	test-auc:0.92946
[270]	train-auc:0.92995	test-auc:0.92951
[271]	train-auc:0.93014	test-auc:0.92969
[272]	train-auc:0.93030	test-auc:0.92985
[273]	train-auc:0.93041	test-auc:0.92997
[274]	train-auc:0.93063	test-auc:0.93015
[275]	train-auc:0.93075	test-auc:0.93026
[276]	train-auc:0.93090	test-auc:0.93041
[277]	train-auc:0.93105	test-auc:0.93055
[278]	train-auc:0.93113	test-auc:0.93063
[279]	train-auc:0.93135	test-auc:0.93087
[280]	train-auc:0.93147	test-auc:0.93097
[281]	train-auc:0.93157	test-auc:0.93106
[282]	train-auc:0.93167	test-auc:0.93116
[283]	train-auc:0.93190	test-auc:0.93141
[284]	train-auc:0.93198	test-auc:0.93149
[285]	train-auc:0.93204	test-auc:0.93154
[286]	train-auc:0.93210	test-auc:0.93160
[287]	train-auc:0.93225	test-auc:0.93175
[288]	train-auc:0.93243	test-auc:0.93196
[289]	train-auc:0.93264	test-auc:0.93218
[290]	train-auc:0.93274	test-auc:0.93230
[291]	train-auc:0.93284	test-auc:0.93241
[292]	train-auc:0.93304	test-auc:0.93258
[293]	train-auc:0.93313	test-auc:0.93266
[294]	train-auc:0.93322	test-auc:0.93278
[295]	train-auc:0.93330	test-auc:0.93285
[296]	train-auc:0.93342	test-auc:0.93298
[297]	train-auc:0.93347	test-auc:0.93302
[298]	train-auc:0.93355	test-auc:0.93310
[299]	train-auc:0.93365	test-auc:0.93322
[300]	train-auc:0.93377	test-auc:0.93333
[301]	train-auc:0.93384	test-auc:0.93341
[302]	train-auc:0.93406	test-auc:0.93367
[303]	train-auc:0.93424	test-auc:0.93386
[304]	train-auc:0.93451	test-auc:0.93411
[305]	train-auc:0.93464	test-auc:0.93424
[306]	train-auc:0.93476	test-auc:0.93436
[307]	train-auc:0.93490	test-auc:0.93450
[308]	train-auc:0.93508	test-auc:0.93468
[309]	train-auc:0.93520	test-auc:0.93479
[310]	train-auc:0.93541	test-auc:0.93500
[311]	train-auc:0.93563	test-auc:0.93523
[312]	train-auc:0.93573	test-auc:0.93533
[313]	train-auc:0.93580	test-auc:0.93540
[314]	train-auc:0.93592	test-auc:0.93550
[315]	train-auc:0.93600	test-auc:0.93558
[316]	train-auc:0.93614	test-auc:0.93573
[317]	train-auc:0.93629	test-auc:0.93586
[318]	train-auc:0.93644	test-auc:0.93603
[319]	train-auc:0.93662	test-auc:0.93622
[320]	train-auc:0.93678	test-auc:0.93636
[321]	train-auc:0.93683	test-auc:0.93641
[322]	train-auc:0.93693	test-auc:0.93654
[323]	train-auc:0.93710	test-auc:0.93674
[324]	train-auc:0.93719	test-auc:0.93683
[325]	train-auc:0.93722	test-auc:0.93686
[326]	train-auc:0.93736	test-auc:0.93701
[327]	train-auc:0.93741	test-auc:0.93705
[328]	train-auc:0.93751	test-auc:0.93715
[329]	train-auc:0.93765	test-auc:0.93728
[330]	train-auc:0.93772	test-auc:0.93736
[331]	train-auc:0.93778	test-auc:0.93743
[332]	train-auc:0.93797	test-auc:0.93761
[333]	train-auc:0.93812	test-auc:0.93775
[334]	train-auc:0.93817	test-auc:0.93780
[335]	train-auc:0.93832	test-auc:0.93796
[336]	train-auc:0.93840	test-auc:0.93805
[337]	train-auc:0.93847	test-auc:0.93813
[338]	train-auc:0.93861	test-auc:0.93827
[339]	train-auc:0.93877	test-auc:0.93842
[340]	train-auc:0.93900	test-auc:0.93865
[341]	train-auc:0.93909	test-auc:0.93874
[342]	train-auc:0.93925	test-auc:0.93889
[343]	train-auc:0.93936	test-auc:0.93902
[344]	train-auc:0.93945	test-auc:0.93913
[345]	train-auc:0.93965	test-auc:0.93934
[346]	train-auc:0.93976	test-auc:0.93944
[347]	train-auc:0.93981	test-auc:0.93949
[348]	train-auc:0.93990	test-auc:0.93958
[349]	train-auc:0.93996	test-auc:0.93964
[350]	train-auc:0.94006	test-auc:0.93974
[351]	train-auc:0.94021	test-auc:0.93990
[352]	train-auc:0.94027	test-auc:0.93995
[353]	train-auc:0.94038	test-auc:0.94006
[354]	train-auc:0.94047	test-auc:0.94013
[355]	train-auc:0.94058	test-auc:0.94027
[356]	train-auc:0.94078	test-auc:0.94047
[357]	train-auc:0.94096	test-auc:0.94066
[358]	train-auc:0.94110	test-auc:0.94083
[359]	train-auc:0.94125	test-auc:0.94099
[360]	train-auc:0.94134	test-auc:0.94108
[361]	train-auc:0.94147	test-auc:0.94122
[362]	train-auc:0.94158	test-auc:0.94133
[363]	train-auc:0.94166	test-auc:0.94141
[364]	train-auc:0.94182	test-auc:0.94161
[365]	train-auc:0.94190	test-auc:0.94168
[366]	train-auc:0.94207	test-auc:0.94186
[367]	train-auc:0.94219	test-auc:0.94196
[368]	train-auc:0.94236	test-auc:0.94212
[369]	train-auc:0.94252	test-auc:0.94229
[370]	train-auc:0.94258	test-auc:0.94233
[371]	train-auc:0.94274	test-auc:0.94249
[372]	train-auc:0.94280	test-auc:0.94256
[373]	train-auc:0.94285	test-auc:0.94261
[374]	train-auc:0.94306	test-auc:0.94280
[375]	train-auc:0.94327	test-auc:0.94302
[376]	train-auc:0.94330	test-auc:0.94305
[377]	train-auc:0.94348	test-auc:0.94325
[378]	train-auc:0.94358	test-auc:0.94335
[379]	train-auc:0.94371	test-auc:0.94348
[380]	train-auc:0.94380	test-auc:0.94357
[381]	train-auc:0.94386	test-auc:0.94361
[382]	train-auc:0.94391	test-auc:0.94367
[383]	train-auc:0.94402	test-auc:0.94380
[384]	train-auc:0.94413	test-auc:0.94393
[385]	train-auc:0.94431	test-auc:0.94413
[386]	train-auc:0.94443	test-auc:0.94427
[387]	train-auc:0.94458	test-auc:0.94441
[388]	train-auc:0.94462	test-auc:0.94445
[389]	train-auc:0.94467	test-auc:0.94451
[390]	train-auc:0.94481	test-auc:0.94464
[391]	train-auc:0.94488	test-auc:0.94471
[392]	train-auc:0.94503	test-auc:0.94487
[393]	train-auc:0.94518	test-auc:0.94501
[394]	train-auc:0.94530	test-auc:0.94511
[395]	train-auc:0.94550	test-auc:0.94534
[396]	train-auc:0.94558	test-auc:0.94542
[397]	train-auc:0.94566	test-auc:0.94551
[398]	train-auc:0.94574	test-auc:0.94560
[399]	train-auc:0.94580	test-auc:0.94564
[400]	train-auc:0.94591	test-auc:0.94576
[401]	train-auc:0.94604	test-auc:0.94591
[402]	train-auc:0.94615	test-auc:0.94600
[403]	train-auc:0.94629	test-auc:0.94615
[404]	train-auc:0.94634	test-auc:0.94619
[405]	train-auc:0.94648	test-auc:0.94634
[406]	train-auc:0.94656	test-auc:0.94643
[407]	train-auc:0.94659	test-auc:0.94646
[408]	train-auc:0.94669	test-auc:0.94657
[409]	train-auc:0.94675	test-auc:0.94663
[410]	train-auc:0.94679	test-auc:0.94666
[411]	train-auc:0.94688	test-auc:0.94673
[412]	train-auc:0.94699	test-auc:0.94685
[413]	train-auc:0.94706	test-auc:0.94693
[414]	train-auc:0.94720	test-auc:0.94708
[415]	train-auc:0.94727	test-auc:0.94715
[416]	train-auc:0.94744	test-auc:0.94732
[417]	train-auc:0.94757	test-auc:0.94747
[418]	train-auc:0.94767	test-auc:0.94756
[419]	train-auc:0.94779	test-auc:0.94767
[420]	train-auc:0.94786	test-auc:0.94773
[421]	train-auc:0.94792	test-auc:0.94780
[422]	train-auc:0.94807	test-auc:0.94798
[423]	train-auc:0.94824	test-auc:0.94815
[424]	train-auc:0.94834	test-auc:0.94825
[425]	train-auc:0.94847	test-auc:0.94839
[426]	train-auc:0.94861	test-auc:0.94853
[427]	train-auc:0.94877	test-auc:0.94868
[428]	train-auc:0.94885	test-auc:0.94875
[429]	train-auc:0.94892	test-auc:0.94883
[430]	train-auc:0.94904	test-auc:0.94896
[431]	train-auc:0.94908	test-auc:0.94902
[432]	train-auc:0.94912	test-auc:0.94907
[433]	train-auc:0.94923	test-auc:0.94919
[434]	train-auc:0.94934	test-auc:0.94929
[435]	train-auc:0.94948	test-auc:0.94944
[436]	train-auc:0.94953	test-auc:0.94948
[437]	train-auc:0.94961	test-auc:0.94957
[438]	train-auc:0.94973	test-auc:0.94970
[439]	train-auc:0.94989	test-auc:0.94984
[440]	train-auc:0.94998	test-auc:0.94993
[441]	train-auc:0.95003	test-auc:0.94998
[442]	train-auc:0.95011	test-auc:0.95006
