[00:25:24] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[128]	train-auc:0.89977	test-auc:0.89860
[129]	train-auc:0.89998	test-auc:0.89879
[130]	train-auc:0.90015	test-auc:0.89895
[131]	train-auc:0.90041	test-auc:0.89923
[132]	train-auc:0.90064	test-auc:0.89946
[133]	train-auc:0.90088	test-auc:0.89974
[134]	train-auc:0.90123	test-auc:0.90010
[135]	train-auc:0.90157	test-auc:0.90045
[136]	train-auc:0.90210	test-auc:0.90099
[137]	train-auc:0.90236	test-auc:0.90126
[138]	train-auc:0.90271	test-auc:0.90160
[139]	train-auc:0.90301	test-auc:0.90195
[140]	train-auc:0.90313	test-auc:0.90207
[141]	train-auc:0.90343	test-auc:0.90238
[142]	train-auc:0.90367	test-auc:0.90264
[143]	train-auc:0.90382	test-auc:0.90277
[144]	train-auc:0.90407	test-auc:0.90305
[145]	train-auc:0.90429	test-auc:0.90329
[146]	train-auc:0.90451	test-auc:0.90348
[147]	train-auc:0.90470	test-auc:0.90366
[148]	train-auc:0.90497	test-auc:0.90393
[149]	train-auc:0.90523	test-auc:0.90415
[150]	train-auc:0.90544	test-auc:0.90436
[151]	train-auc:0.90553	test-auc:0.90445
[152]	train-auc:0.90562	test-auc:0.90456
[153]	train-auc:0.90588	test-auc:0.90484
[154]	train-auc:0.90609	test-auc:0.90504
[155]	train-auc:0.90625	test-auc:0.90521
[156]	train-auc:0.90645	test-auc:0.90546
[157]	train-auc:0.90670	test-auc:0.90572
[158]	train-auc:0.90686	test-auc:0.90590
[159]	train-auc:0.90710	test-auc:0.90613
[160]	train-auc:0.90738	test-auc:0.90647
[161]	train-auc:0.90753	test-auc:0.90659
[162]	train-auc:0.90762	test-auc:0.90670
[163]	train-auc:0.90791	test-auc:0.90697
[164]	train-auc:0.90814	test-auc:0.90717
[165]	train-auc:0.90833	test-auc:0.90738
[166]	train-auc:0.90868	test-auc:0.90774
[167]	train-auc:0.90897	test-auc:0.90802
[168]	train-auc:0.90911	test-auc:0.90817
[169]	train-auc:0.90929	test-auc:0.90834
[170]	train-auc:0.90946	test-auc:0.90850
[171]	train-auc:0.90956	test-auc:0.90861
[172]	train-auc:0.90972	test-auc:0.90880
[173]	train-auc:0.90985	test-auc:0.90895
[174]	train-auc:0.91003	test-auc:0.90916
[175]	train-auc:0.91024	test-auc:0.90941
[176]	train-auc:0.91040	test-auc:0.90960
[177]	train-auc:0.91071	test-auc:0.90992
[178]	train-auc:0.91082	test-auc:0.91004
[179]	train-auc:0.91100	test-auc:0.91023
[180]	train-auc:0.91116	test-auc:0.91038
[181]	train-auc:0.91152	test-auc:0.91081
[182]	train-auc:0.91176	test-auc:0.91100
[183]	train-auc:0.91203	test-auc:0.91130
[184]	train-auc:0.91220	test-auc:0.91149
[185]	train-auc:0.91232	test-auc:0.91161
[186]	train-auc:0.91256	test-auc:0.91184
[187]	train-auc:0.91275	test-auc:0.91199
[188]	train-auc:0.91296	test-auc:0.91221
[189]	train-auc:0.91304	test-auc:0.91227
[190]	train-auc:0.91320	test-auc:0.91244
[191]	train-auc:0.91330	test-auc:0.91252
[192]	train-auc:0.91352	test-auc:0.91273
[193]	train-auc:0.91367	test-auc:0.91289
