/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[16:25:30] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.90764	test-auc:0.86422
[124]	train-auc:0.90795	test-auc:0.86422
[125]	train-auc:0.90823	test-auc:0.86433
[126]	train-auc:0.90846	test-auc:0.86441
[127]	train-auc:0.90867	test-auc:0.86451
[128]	train-auc:0.90889	test-auc:0.86445
[129]	train-auc:0.90915	test-auc:0.86452
[130]	train-auc:0.90930	test-auc:0.86454
[131]	train-auc:0.90961	test-auc:0.86456
[132]	train-auc:0.90983	test-auc:0.86459
[133]	train-auc:0.91001	test-auc:0.86459
[134]	train-auc:0.91022	test-auc:0.86459
[135]	train-auc:0.91042	test-auc:0.86460
[136]	train-auc:0.91073	test-auc:0.86461
[137]	train-auc:0.91103	test-auc:0.86460
[138]	train-auc:0.91131	test-auc:0.86464
[139]	train-auc:0.91160	test-auc:0.86466
[140]	train-auc:0.91187	test-auc:0.86484
[141]	train-auc:0.91207	test-auc:0.86481
[142]	train-auc:0.91236	test-auc:0.86489
[143]	train-auc:0.91256	test-auc:0.86497
[144]	train-auc:0.91282	test-auc:0.86492
[145]	train-auc:0.91311	test-auc:0.86498
[146]	train-auc:0.91322	test-auc:0.86499
[147]	train-auc:0.91339	test-auc:0.86501
[148]	train-auc:0.91379	test-auc:0.86517
[149]	train-auc:0.91392	test-auc:0.86525
[150]	train-auc:0.91420	test-auc:0.86526
[151]	train-auc:0.91450	test-auc:0.86532
[152]	train-auc:0.91480	test-auc:0.86537
[153]	train-auc:0.91493	test-auc:0.86528
[154]	train-auc:0.91512	test-auc:0.86532
[155]	train-auc:0.91543	test-auc:0.86535
[156]	train-auc:0.91562	test-auc:0.86540
[157]	train-auc:0.91587	test-auc:0.86541
[158]	train-auc:0.91613	test-auc:0.86544
[159]	train-auc:0.91630	test-auc:0.86546
[160]	train-auc:0.91640	test-auc:0.86546
[161]	train-auc:0.91670	test-auc:0.86555
[162]	train-auc:0.91693	test-auc:0.86564
[163]	train-auc:0.91712	test-auc:0.86570
[164]	train-auc:0.91728	test-auc:0.86569
[165]	train-auc:0.91747	test-auc:0.86568
[166]	train-auc:0.91780	test-auc:0.86579
[167]	train-auc:0.91802	test-auc:0.86576
[168]	train-auc:0.91815	test-auc:0.86578
[169]	train-auc:0.91848	test-auc:0.86583
[170]	train-auc:0.91864	test-auc:0.86591
[171]	train-auc:0.91882	test-auc:0.86595
[172]	train-auc:0.91908	test-auc:0.86592
[173]	train-auc:0.91933	test-auc:0.86591
[174]	train-auc:0.91958	test-auc:0.86590
[175]	train-auc:0.91982	test-auc:0.86589
[176]	train-auc:0.92000	test-auc:0.86592
[177]	train-auc:0.92018	test-auc:0.86597
[178]	train-auc:0.92053	test-auc:0.86614
[179]	train-auc:0.92077	test-auc:0.86613
[180]	train-auc:0.92094	test-auc:0.86611
[181]	train-auc:0.92114	test-auc:0.86614
[182]	train-auc:0.92126	test-auc:0.86616
[183]	train-auc:0.92151	test-auc:0.86623
[184]	train-auc:0.92182	test-auc:0.86624
[185]	train-auc:0.92206	test-auc:0.86623
[186]	train-auc:0.92233	test-auc:0.86621
[187]	train-auc:0.92249	test-auc:0.86622
[188]	train-auc:0.92269	test-auc:0.86623
[189]	train-auc:0.92297	test-auc:0.86627
[190]	train-auc:0.92318	test-auc:0.86621
[191]	train-auc:0.92334	test-auc:0.86621
[192]	train-auc:0.92365	test-auc:0.86624
[193]	train-auc:0.92377	test-auc:0.86623
[194]	train-auc:0.92397	test-auc:0.86626
[195]	train-auc:0.92420	test-auc:0.86619
[196]	train-auc:0.92429	test-auc:0.86620
[197]	train-auc:0.92447	test-auc:0.86624
[198]	train-auc:0.92460	test-auc:0.86626
[199]	train-auc:0.92478	test-auc:0.86627
[200]	train-auc:0.92493	test-auc:0.86628
[201]	train-auc:0.92517	test-auc:0.86632
[202]	train-auc:0.92541	test-auc:0.86635
[203]	train-auc:0.92563	test-auc:0.86634
[204]	train-auc:0.92588	test-auc:0.86638
[205]	train-auc:0.92614	test-auc:0.86642
[206]	train-auc:0.92635	test-auc:0.86652
[207]	train-auc:0.92649	test-auc:0.86652
[208]	train-auc:0.92671	test-auc:0.86656
[209]	train-auc:0.92681	test-auc:0.86653
[210]	train-auc:0.92697	test-auc:0.86655
[211]	train-auc:0.92708	test-auc:0.86658
[212]	train-auc:0.92732	test-auc:0.86660
[213]	train-auc:0.92743	test-auc:0.86661
[214]	train-auc:0.92759	test-auc:0.86664
[215]	train-auc:0.92787	test-auc:0.86664
[216]	train-auc:0.92801	test-auc:0.86660
[217]	train-auc:0.92820	test-auc:0.86661
[218]	train-auc:0.92849	test-auc:0.86658
[219]	train-auc:0.92862	test-auc:0.86656
[220]	train-auc:0.92882	test-auc:0.86660
[221]	train-auc:0.92906	test-auc:0.86665
[222]	train-auc:0.92919	test-auc:0.86665
[223]	train-auc:0.92945	test-auc:0.86665
[224]	train-auc:0.92964	test-auc:0.86659
[225]	train-auc:0.92981	test-auc:0.86656
[226]	train-auc:0.93007	test-auc:0.86667
[227]	train-auc:0.93029	test-auc:0.86677
[228]	train-auc:0.93050	test-auc:0.86686
[229]	train-auc:0.93076	test-auc:0.86686
[230]	train-auc:0.93101	test-auc:0.86686
[231]	train-auc:0.93125	test-auc:0.86684
[232]	train-auc:0.93135	test-auc:0.86685
[233]	train-auc:0.93148	test-auc:0.86682
[234]	train-auc:0.93156	test-auc:0.86682
[235]	train-auc:0.93162	test-auc:0.86687
[236]	train-auc:0.93175	test-auc:0.86689
[237]	train-auc:0.93195	test-auc:0.86695
[238]	train-auc:0.93218	test-auc:0.86700
[239]	train-auc:0.93232	test-auc:0.86703
[240]	train-auc:0.93251	test-auc:0.86701
[241]	train-auc:0.93268	test-auc:0.86707
[242]	train-auc:0.93282	test-auc:0.86709
[243]	train-auc:0.93298	test-auc:0.86708
[244]	train-auc:0.93317	test-auc:0.86708
[245]	train-auc:0.93337	test-auc:0.86717
[246]	train-auc:0.93346	test-auc:0.86721
[247]	train-auc:0.93368	test-auc:0.86720
[248]	train-auc:0.93385	test-auc:0.86718
[249]	train-auc:0.93405	test-auc:0.86717
[250]	train-auc:0.93419	test-auc:0.86715
