/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[19:41:56] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.90481	test-auc:0.86367
[124]	train-auc:0.90494	test-auc:0.86367
[125]	train-auc:0.90519	test-auc:0.86360
[126]	train-auc:0.90550	test-auc:0.86365
[127]	train-auc:0.90574	test-auc:0.86366
[128]	train-auc:0.90603	test-auc:0.86374
[129]	train-auc:0.90627	test-auc:0.86372
[130]	train-auc:0.90660	test-auc:0.86376
[131]	train-auc:0.90677	test-auc:0.86389
[132]	train-auc:0.90699	test-auc:0.86396
[133]	train-auc:0.90725	test-auc:0.86405
[134]	train-auc:0.90754	test-auc:0.86409
[135]	train-auc:0.90787	test-auc:0.86414
[136]	train-auc:0.90817	test-auc:0.86414
[137]	train-auc:0.90851	test-auc:0.86427
[138]	train-auc:0.90879	test-auc:0.86439
[139]	train-auc:0.90915	test-auc:0.86433
[140]	train-auc:0.90936	test-auc:0.86440
[141]	train-auc:0.90955	test-auc:0.86446
[142]	train-auc:0.90992	test-auc:0.86451
[143]	train-auc:0.91029	test-auc:0.86470
[144]	train-auc:0.91042	test-auc:0.86474
[145]	train-auc:0.91055	test-auc:0.86485
[146]	train-auc:0.91079	test-auc:0.86497
[147]	train-auc:0.91113	test-auc:0.86519
[148]	train-auc:0.91136	test-auc:0.86520
[149]	train-auc:0.91162	test-auc:0.86517
[150]	train-auc:0.91183	test-auc:0.86522
[151]	train-auc:0.91205	test-auc:0.86529
[152]	train-auc:0.91235	test-auc:0.86532
[153]	train-auc:0.91255	test-auc:0.86533
[154]	train-auc:0.91266	test-auc:0.86533
[155]	train-auc:0.91289	test-auc:0.86538
[156]	train-auc:0.91312	test-auc:0.86541
[157]	train-auc:0.91323	test-auc:0.86545
[158]	train-auc:0.91350	test-auc:0.86538
[159]	train-auc:0.91376	test-auc:0.86540
[160]	train-auc:0.91399	test-auc:0.86547
[161]	train-auc:0.91412	test-auc:0.86551
[162]	train-auc:0.91436	test-auc:0.86558
[163]	train-auc:0.91459	test-auc:0.86566
[164]	train-auc:0.91487	test-auc:0.86568
[165]	train-auc:0.91520	test-auc:0.86578
[166]	train-auc:0.91537	test-auc:0.86578
[167]	train-auc:0.91562	test-auc:0.86587
[168]	train-auc:0.91589	test-auc:0.86587
[169]	train-auc:0.91611	test-auc:0.86591
[170]	train-auc:0.91634	test-auc:0.86593
[171]	train-auc:0.91646	test-auc:0.86593
[172]	train-auc:0.91660	test-auc:0.86594
[173]	train-auc:0.91680	test-auc:0.86598
[174]	train-auc:0.91705	test-auc:0.86598
[175]	train-auc:0.91727	test-auc:0.86595
[176]	train-auc:0.91760	test-auc:0.86601
[177]	train-auc:0.91788	test-auc:0.86610
[178]	train-auc:0.91817	test-auc:0.86609
[179]	train-auc:0.91839	test-auc:0.86606
[180]	train-auc:0.91870	test-auc:0.86617
[181]	train-auc:0.91892	test-auc:0.86625
[182]	train-auc:0.91927	test-auc:0.86630
[183]	train-auc:0.91946	test-auc:0.86628
[184]	train-auc:0.91967	test-auc:0.86627
[185]	train-auc:0.91985	test-auc:0.86627
[186]	train-auc:0.92011	test-auc:0.86629
[187]	train-auc:0.92038	test-auc:0.86626
[188]	train-auc:0.92057	test-auc:0.86639
[189]	train-auc:0.92078	test-auc:0.86648
[190]	train-auc:0.92100	test-auc:0.86650
[191]	train-auc:0.92122	test-auc:0.86653
[192]	train-auc:0.92137	test-auc:0.86652
[193]	train-auc:0.92148	test-auc:0.86657
[194]	train-auc:0.92174	test-auc:0.86657
[195]	train-auc:0.92197	test-auc:0.86652
