[16:39:05] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[128]	train-auc:0.90236	test-auc:0.90207
[129]	train-auc:0.90263	test-auc:0.90234
[130]	train-auc:0.90282	test-auc:0.90254
[131]	train-auc:0.90306	test-auc:0.90275
[132]	train-auc:0.90333	test-auc:0.90309
[133]	train-auc:0.90352	test-auc:0.90327
[134]	train-auc:0.90363	test-auc:0.90336
[135]	train-auc:0.90394	test-auc:0.90377
[136]	train-auc:0.90418	test-auc:0.90400
[137]	train-auc:0.90442	test-auc:0.90419
[138]	train-auc:0.90474	test-auc:0.90449
[139]	train-auc:0.90503	test-auc:0.90476
[140]	train-auc:0.90523	test-auc:0.90497
[141]	train-auc:0.90546	test-auc:0.90521
[142]	train-auc:0.90588	test-auc:0.90563
[143]	train-auc:0.90609	test-auc:0.90587
[144]	train-auc:0.90630	test-auc:0.90607
[145]	train-auc:0.90646	test-auc:0.90625
[146]	train-auc:0.90660	test-auc:0.90639
[147]	train-auc:0.90687	test-auc:0.90669
[148]	train-auc:0.90717	test-auc:0.90698
[149]	train-auc:0.90742	test-auc:0.90726
[150]	train-auc:0.90756	test-auc:0.90738
[151]	train-auc:0.90772	test-auc:0.90754
[152]	train-auc:0.90793	test-auc:0.90774
[153]	train-auc:0.90813	test-auc:0.90793
[154]	train-auc:0.90834	test-auc:0.90815
[155]	train-auc:0.90860	test-auc:0.90841
[156]	train-auc:0.90885	test-auc:0.90862
[157]	train-auc:0.90913	test-auc:0.90893
[158]	train-auc:0.90936	test-auc:0.90913
[159]	train-auc:0.90946	test-auc:0.90924
[160]	train-auc:0.90965	test-auc:0.90945
[161]	train-auc:0.90989	test-auc:0.90971
[162]	train-auc:0.91014	test-auc:0.90995
[163]	train-auc:0.91041	test-auc:0.91023
[164]	train-auc:0.91064	test-auc:0.91049
[165]	train-auc:0.91087	test-auc:0.91070
[166]	train-auc:0.91117	test-auc:0.91100
[167]	train-auc:0.91141	test-auc:0.91124
[168]	train-auc:0.91158	test-auc:0.91139
[169]	train-auc:0.91170	test-auc:0.91149
[170]	train-auc:0.91180	test-auc:0.91158
[171]	train-auc:0.91198	test-auc:0.91174
[172]	train-auc:0.91217	test-auc:0.91194
[173]	train-auc:0.91242	test-auc:0.91218
[174]	train-auc:0.91270	test-auc:0.91248
[175]	train-auc:0.91286	test-auc:0.91265
[176]	train-auc:0.91306	test-auc:0.91289
[177]	train-auc:0.91324	test-auc:0.91310
[178]	train-auc:0.91348	test-auc:0.91338
[179]	train-auc:0.91360	test-auc:0.91350
[180]	train-auc:0.91378	test-auc:0.91373
[181]	train-auc:0.91390	test-auc:0.91385
[182]	train-auc:0.91410	test-auc:0.91407
[183]	train-auc:0.91432	test-auc:0.91429
[184]	train-auc:0.91454	test-auc:0.91450
[185]	train-auc:0.91474	test-auc:0.91472
[186]	train-auc:0.91503	test-auc:0.91500
[187]	train-auc:0.91520	test-auc:0.91517
[188]	train-auc:0.91542	test-auc:0.91539
[189]	train-auc:0.91561	test-auc:0.91555
[190]	train-auc:0.91580	test-auc:0.91575
[191]	train-auc:0.91595	test-auc:0.91594
[192]	train-auc:0.91617	test-auc:0.91614
[193]	train-auc:0.91626	test-auc:0.91624
[194]	train-auc:0.91653	test-auc:0.91651
[195]	train-auc:0.91666	test-auc:0.91668
[196]	train-auc:0.91687	test-auc:0.91692
[197]	train-auc:0.91707	test-auc:0.91714
[198]	train-auc:0.91726	test-auc:0.91730
[199]	train-auc:0.91736	test-auc:0.91737
[200]	train-auc:0.91750	test-auc:0.91748
[201]	train-auc:0.91777	test-auc:0.91776
[202]	train-auc:0.91801	test-auc:0.91799
[203]	train-auc:0.91815	test-auc:0.91812
[204]	train-auc:0.91839	test-auc:0.91837
[205]	train-auc:0.91860	test-auc:0.91863
[206]	train-auc:0.91883	test-auc:0.91887
[207]	train-auc:0.91901	test-auc:0.91904
[208]	train-auc:0.91926	test-auc:0.91934
[209]	train-auc:0.91937	test-auc:0.91946
[210]	train-auc:0.91953	test-auc:0.91965
[211]	train-auc:0.91966	test-auc:0.91981
[212]	train-auc:0.91987	test-auc:0.91999
[213]	train-auc:0.92005	test-auc:0.92018
[214]	train-auc:0.92016	test-auc:0.92028
