/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[21:46:09] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.91842	test-auc:0.84415
[124]	train-auc:0.91887	test-auc:0.84421
[125]	train-auc:0.91958	test-auc:0.84430
[126]	train-auc:0.92006	test-auc:0.84448
[127]	train-auc:0.92063	test-auc:0.84460
[128]	train-auc:0.92100	test-auc:0.84467
[129]	train-auc:0.92136	test-auc:0.84481
[130]	train-auc:0.92165	test-auc:0.84487
[131]	train-auc:0.92176	test-auc:0.84491
[132]	train-auc:0.92230	test-auc:0.84501
[133]	train-auc:0.92259	test-auc:0.84508
[134]	train-auc:0.92305	test-auc:0.84527
[135]	train-auc:0.92344	test-auc:0.84531
[136]	train-auc:0.92366	test-auc:0.84541
[137]	train-auc:0.92414	test-auc:0.84549
[138]	train-auc:0.92457	test-auc:0.84562
[139]	train-auc:0.92491	test-auc:0.84570
[140]	train-auc:0.92517	test-auc:0.84573
[141]	train-auc:0.92559	test-auc:0.84575
[142]	train-auc:0.92604	test-auc:0.84577
[143]	train-auc:0.92624	test-auc:0.84579
[144]	train-auc:0.92660	test-auc:0.84586
[145]	train-auc:0.92703	test-auc:0.84595
[146]	train-auc:0.92752	test-auc:0.84608
[147]	train-auc:0.92791	test-auc:0.84615
[148]	train-auc:0.92823	test-auc:0.84624
[149]	train-auc:0.92837	test-auc:0.84627
[150]	train-auc:0.92869	test-auc:0.84637
[151]	train-auc:0.92913	test-auc:0.84638
[152]	train-auc:0.92931	test-auc:0.84659
[153]	train-auc:0.92975	test-auc:0.84658
[154]	train-auc:0.93010	test-auc:0.84666
[155]	train-auc:0.93056	test-auc:0.84666
[156]	train-auc:0.93093	test-auc:0.84674
[157]	train-auc:0.93137	test-auc:0.84683
[158]	train-auc:0.93161	test-auc:0.84694
[159]	train-auc:0.93188	test-auc:0.84701
[160]	train-auc:0.93207	test-auc:0.84704
[161]	train-auc:0.93220	test-auc:0.84708
[162]	train-auc:0.93263	test-auc:0.84708
[163]	train-auc:0.93282	test-auc:0.84715
[164]	train-auc:0.93326	test-auc:0.84735
[165]	train-auc:0.93342	test-auc:0.84745
[166]	train-auc:0.93384	test-auc:0.84739
[167]	train-auc:0.93417	test-auc:0.84745
[168]	train-auc:0.93447	test-auc:0.84752
[169]	train-auc:0.93487	test-auc:0.84756
[170]	train-auc:0.93514	test-auc:0.84763
[171]	train-auc:0.93553	test-auc:0.84774
[172]	train-auc:0.93580	test-auc:0.84771
[173]	train-auc:0.93603	test-auc:0.84778
[174]	train-auc:0.93632	test-auc:0.84788
[175]	train-auc:0.93666	test-auc:0.84789
[176]	train-auc:0.93688	test-auc:0.84796
[177]	train-auc:0.93701	test-auc:0.84803
[178]	train-auc:0.93743	test-auc:0.84810
[179]	train-auc:0.93768	test-auc:0.84813
[180]	train-auc:0.93806	test-auc:0.84818
[181]	train-auc:0.93847	test-auc:0.84817
[182]	train-auc:0.93870	test-auc:0.84822
[183]	train-auc:0.93897	test-auc:0.84835
[184]	train-auc:0.93930	test-auc:0.84834
[185]	train-auc:0.93952	test-auc:0.84846
[186]	train-auc:0.93995	test-auc:0.84857
[187]	train-auc:0.94018	test-auc:0.84862
[188]	train-auc:0.94047	test-auc:0.84860
[189]	train-auc:0.94078	test-auc:0.84855
[190]	train-auc:0.94101	test-auc:0.84859
[191]	train-auc:0.94133	test-auc:0.84859
[192]	train-auc:0.94157	test-auc:0.84856
[193]	train-auc:0.94175	test-auc:0.84865
[194]	train-auc:0.94209	test-auc:0.84870
[195]	train-auc:0.94231	test-auc:0.84875
[196]	train-auc:0.94261	test-auc:0.84872
[197]	train-auc:0.94283	test-auc:0.84882
[198]	train-auc:0.94302	test-auc:0.84882
[199]	train-auc:0.94314	test-auc:0.84882
[200]	train-auc:0.94338	test-auc:0.84886
[201]	train-auc:0.94347	test-auc:0.84889
[202]	train-auc:0.94372	test-auc:0.84900
[203]	train-auc:0.94389	test-auc:0.84900
[204]	train-auc:0.94410	test-auc:0.84908
[205]	train-auc:0.94422	test-auc:0.84907
[206]	train-auc:0.94449	test-auc:0.84907
[207]	train-auc:0.94479	test-auc:0.84912
[208]	train-auc:0.94499	test-auc:0.84922
[209]	train-auc:0.94512	test-auc:0.84926
[210]	train-auc:0.94534	test-auc:0.84928
[211]	train-auc:0.94570	test-auc:0.84928
[212]	train-auc:0.94596	test-auc:0.84938
[213]	train-auc:0.94614	test-auc:0.84939
[214]	train-auc:0.94631	test-auc:0.84935
[215]	train-auc:0.94641	test-auc:0.84934
[216]	train-auc:0.94658	test-auc:0.84946
[217]	train-auc:0.94678	test-auc:0.84940
[218]	train-auc:0.94696	test-auc:0.84942
[219]	train-auc:0.94706	test-auc:0.84944
[220]	train-auc:0.94740	test-auc:0.84950
[221]	train-auc:0.94748	test-auc:0.84955
[222]	train-auc:0.94768	test-auc:0.84947
[223]	train-auc:0.94791	test-auc:0.84951
[224]	train-auc:0.94795	test-auc:0.84950
[225]	train-auc:0.94804	test-auc:0.84953
[226]	train-auc:0.94826	test-auc:0.84951
[227]	train-auc:0.94847	test-auc:0.84956
[228]	train-auc:0.94874	test-auc:0.84958
[229]	train-auc:0.94898	test-auc:0.84962
[230]	train-auc:0.94931	test-auc:0.84966
[231]	train-auc:0.94965	test-auc:0.84970
[232]	train-auc:0.94984	test-auc:0.84974
[233]	train-auc:0.94996	test-auc:0.84974
[234]	train-auc:0.95021	test-auc:0.84975
[235]	train-auc:0.95043	test-auc:0.84973
[236]	train-auc:0.95074	test-auc:0.84967
[237]	train-auc:0.95105	test-auc:0.84968
[238]	train-auc:0.95122	test-auc:0.84966
[239]	train-auc:0.95132	test-auc:0.84963
[240]	train-auc:0.95164	test-auc:0.84961
[241]	train-auc:0.95197	test-auc:0.84979
[242]	train-auc:0.95202	test-auc:0.84982
[243]	train-auc:0.95217	test-auc:0.84988
[244]	train-auc:0.95235	test-auc:0.84989
