Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
[22:14:47] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[126]	train-auc:0.90780	test-auc:0.86423
[127]	train-auc:0.90814	test-auc:0.86437
[128]	train-auc:0.90851	test-auc:0.86443
[129]	train-auc:0.90867	test-auc:0.86441
[130]	train-auc:0.90901	test-auc:0.86442
[131]	train-auc:0.90926	test-auc:0.86449
[132]	train-auc:0.90947	test-auc:0.86456
[133]	train-auc:0.90975	test-auc:0.86452
[134]	train-auc:0.90998	test-auc:0.86457
[135]	train-auc:0.91026	test-auc:0.86472
[136]	train-auc:0.91053	test-auc:0.86477
[137]	train-auc:0.91088	test-auc:0.86484
[138]	train-auc:0.91114	test-auc:0.86494
[139]	train-auc:0.91139	test-auc:0.86506
[140]	train-auc:0.91166	test-auc:0.86507
[141]	train-auc:0.91203	test-auc:0.86529
[142]	train-auc:0.91229	test-auc:0.86531
[143]	train-auc:0.91255	test-auc:0.86536
[144]	train-auc:0.91277	test-auc:0.86538
[145]	train-auc:0.91300	test-auc:0.86534
[146]	train-auc:0.91324	test-auc:0.86542
[147]	train-auc:0.91340	test-auc:0.86545
[148]	train-auc:0.91357	test-auc:0.86544
[149]	train-auc:0.91375	test-auc:0.86544
[150]	train-auc:0.91397	test-auc:0.86542
[151]	train-auc:0.91424	test-auc:0.86549
[152]	train-auc:0.91433	test-auc:0.86549
[153]	train-auc:0.91458	test-auc:0.86546
[154]	train-auc:0.91483	test-auc:0.86546
[155]	train-auc:0.91497	test-auc:0.86545
[156]	train-auc:0.91511	test-auc:0.86550
[157]	train-auc:0.91541	test-auc:0.86552
[158]	train-auc:0.91573	test-auc:0.86562
[159]	train-auc:0.91602	test-auc:0.86564
[160]	train-auc:0.91626	test-auc:0.86564
[161]	train-auc:0.91646	test-auc:0.86565
[162]	train-auc:0.91670	test-auc:0.86566
[163]	train-auc:0.91701	test-auc:0.86573
[164]	train-auc:0.91726	test-auc:0.86575
[165]	train-auc:0.91749	test-auc:0.86576
[166]	train-auc:0.91788	test-auc:0.86583
[167]	train-auc:0.91821	test-auc:0.86589
[168]	train-auc:0.91846	test-auc:0.86593
[169]	train-auc:0.91875	test-auc:0.86593
[170]	train-auc:0.91891	test-auc:0.86592
[171]	train-auc:0.91918	test-auc:0.86586
[172]	train-auc:0.91944	test-auc:0.86596
[173]	train-auc:0.91973	test-auc:0.86599
[174]	train-auc:0.91993	test-auc:0.86601
[175]	train-auc:0.92007	test-auc:0.86599
[176]	train-auc:0.92027	test-auc:0.86595
[177]	train-auc:0.92040	test-auc:0.86595
[178]	train-auc:0.92056	test-auc:0.86593
[179]	train-auc:0.92075	test-auc:0.86605
[180]	train-auc:0.92096	test-auc:0.86604
[181]	train-auc:0.92116	test-auc:0.86605
[182]	train-auc:0.92123	test-auc:0.86606
[183]	train-auc:0.92143	test-auc:0.86602
[184]	train-auc:0.92168	test-auc:0.86608
[185]	train-auc:0.92184	test-auc:0.86604
[186]	train-auc:0.92215	test-auc:0.86619
[187]	train-auc:0.92242	test-auc:0.86621
[188]	train-auc:0.92263	test-auc:0.86622
[189]	train-auc:0.92287	test-auc:0.86632
[190]	train-auc:0.92309	test-auc:0.86636
[191]	train-auc:0.92327	test-auc:0.86640
[192]	train-auc:0.92348	test-auc:0.86641
[193]	train-auc:0.92359	test-auc:0.86639
[194]	train-auc:0.92386	test-auc:0.86662
[195]	train-auc:0.92409	test-auc:0.86667
[196]	train-auc:0.92423	test-auc:0.86667
[197]	train-auc:0.92445	test-auc:0.86666
[198]	train-auc:0.92471	test-auc:0.86670
[199]	train-auc:0.92494	test-auc:0.86671
[200]	train-auc:0.92518	test-auc:0.86671
[201]	train-auc:0.92528	test-auc:0.86668
[202]	train-auc:0.92550	test-auc:0.86671
[203]	train-auc:0.92566	test-auc:0.86672
[204]	train-auc:0.92589	test-auc:0.86673
[205]	train-auc:0.92610	test-auc:0.86677
[206]	train-auc:0.92635	test-auc:0.86677
[207]	train-auc:0.92660	test-auc:0.86676
[208]	train-auc:0.92683	test-auc:0.86680
[209]	train-auc:0.92700	test-auc:0.86680
[210]	train-auc:0.92722	test-auc:0.86682
[211]	train-auc:0.92748	test-auc:0.86682
[212]	train-auc:0.92773	test-auc:0.86688
[213]	train-auc:0.92791	test-auc:0.86690
[214]	train-auc:0.92809	test-auc:0.86704
[215]	train-auc:0.92831	test-auc:0.86702
[216]	train-auc:0.92853	test-auc:0.86705
[217]	train-auc:0.92875	test-auc:0.86707
[218]	train-auc:0.92886	test-auc:0.86710
[219]	train-auc:0.92901	test-auc:0.86711
[220]	train-auc:0.92924	test-auc:0.86714
[221]	train-auc:0.92944	test-auc:0.86715
[222]	train-auc:0.92953	test-auc:0.86713
[223]	train-auc:0.92975	test-auc:0.86718
[224]	train-auc:0.92998	test-auc:0.86710
[225]	train-auc:0.93007	test-auc:0.86712
[226]	train-auc:0.93014	test-auc:0.86711
[227]	train-auc:0.93034	test-auc:0.86711
[228]	train-auc:0.93043	test-auc:0.86710
[229]	train-auc:0.93063	test-auc:0.86708
[230]	train-auc:0.93089	test-auc:0.86718
[231]	train-auc:0.93099	test-auc:0.86716
[232]	train-auc:0.93110	test-auc:0.86715
[233]	train-auc:0.93117	test-auc:0.86715
[234]	train-auc:0.93144	test-auc:0.86722
[235]	train-auc:0.93152	test-auc:0.86721
[236]	train-auc:0.93172	test-auc:0.86720
[237]	train-auc:0.93182	test-auc:0.86718
[238]	train-auc:0.93208	test-auc:0.86723
[239]	train-auc:0.93217	test-auc:0.86724
[240]	train-auc:0.93223	test-auc:0.86722
[241]	train-auc:0.93249	test-auc:0.86726
[242]	train-auc:0.93263	test-auc:0.86729
[243]	train-auc:0.93284	test-auc:0.86736
[244]	train-auc:0.93301	test-auc:0.86729
[245]	train-auc:0.93320	test-auc:0.86732
[246]	train-auc:0.93327	test-auc:0.86730
[247]	train-auc:0.93347	test-auc:0.86731
[248]	train-auc:0.93357	test-auc:0.86728
[249]	train-auc:0.93368	test-auc:0.86733
[250]	train-auc:0.93371	test-auc:0.86732
[251]	train-auc:0.93379	test-auc:0.86730
[252]	train-auc:0.93394	test-auc:0.86733
[253]	train-auc:0.93416	test-auc:0.86730
[254]	train-auc:0.93433	test-auc:0.86730
[255]	train-auc:0.93455	test-auc:0.86730
[256]	train-auc:0.93472	test-auc:0.86731
[257]	train-auc:0.93496	test-auc:0.86736
[258]	train-auc:0.93513	test-auc:0.86737
[259]	train-auc:0.93522	test-auc:0.86738
[260]	train-auc:0.93546	test-auc:0.86739
[261]	train-auc:0.93557	test-auc:0.86742
[262]	train-auc:0.93567	test-auc:0.86741
[263]	train-auc:0.93578	test-auc:0.86739
[264]	train-auc:0.93586	test-auc:0.86738
[265]	train-auc:0.93592	test-auc:0.86736
[266]	train-auc:0.93617	test-auc:0.86739
[267]	train-auc:0.93637	test-auc:0.86737
[268]	train-auc:0.93652	test-auc:0.86738
[269]	train-auc:0.93670	test-auc:0.86737
[270]	train-auc:0.93680	test-auc:0.86738
[271]	train-auc:0.93698	test-auc:0.86738
[272]	train-auc:0.93720	test-auc:0.86733
[273]	train-auc:0.93735	test-auc:0.86737
[274]	train-auc:0.93747	test-auc:0.86736
