/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[18:33:13] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.91267	test-auc:0.86268
[124]	train-auc:0.91301	test-auc:0.86265
[125]	train-auc:0.91327	test-auc:0.86270
[126]	train-auc:0.91348	test-auc:0.86277
[127]	train-auc:0.91375	test-auc:0.86282
[128]	train-auc:0.91396	test-auc:0.86292
[129]	train-auc:0.91428	test-auc:0.86294
[130]	train-auc:0.91452	test-auc:0.86295
[131]	train-auc:0.91473	test-auc:0.86293
[132]	train-auc:0.91503	test-auc:0.86297
[133]	train-auc:0.91531	test-auc:0.86306
[134]	train-auc:0.91561	test-auc:0.86304
[135]	train-auc:0.91580	test-auc:0.86314
[136]	train-auc:0.91602	test-auc:0.86316
[137]	train-auc:0.91619	test-auc:0.86314
[138]	train-auc:0.91635	test-auc:0.86321
[139]	train-auc:0.91667	test-auc:0.86322
[140]	train-auc:0.91695	test-auc:0.86322
[141]	train-auc:0.91719	test-auc:0.86330
[142]	train-auc:0.91761	test-auc:0.86330
[143]	train-auc:0.91780	test-auc:0.86332
[144]	train-auc:0.91796	test-auc:0.86331
[145]	train-auc:0.91826	test-auc:0.86340
[146]	train-auc:0.91856	test-auc:0.86343
[147]	train-auc:0.91868	test-auc:0.86345
[148]	train-auc:0.91889	test-auc:0.86345
[149]	train-auc:0.91928	test-auc:0.86350
[150]	train-auc:0.91949	test-auc:0.86348
[151]	train-auc:0.91965	test-auc:0.86350
[152]	train-auc:0.91977	test-auc:0.86353
[153]	train-auc:0.92003	test-auc:0.86355
[154]	train-auc:0.92018	test-auc:0.86366
[155]	train-auc:0.92044	test-auc:0.86372
[156]	train-auc:0.92061	test-auc:0.86378
[157]	train-auc:0.92090	test-auc:0.86380
[158]	train-auc:0.92128	test-auc:0.86382
[159]	train-auc:0.92146	test-auc:0.86384
[160]	train-auc:0.92171	test-auc:0.86384
[161]	train-auc:0.92191	test-auc:0.86389
