/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[22:26:25] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.90615	test-auc:0.86230
[124]	train-auc:0.90649	test-auc:0.86234
[125]	train-auc:0.90682	test-auc:0.86245
[126]	train-auc:0.90699	test-auc:0.86249
[127]	train-auc:0.90729	test-auc:0.86259
[128]	train-auc:0.90753	test-auc:0.86273
[129]	train-auc:0.90768	test-auc:0.86273
[130]	train-auc:0.90800	test-auc:0.86275
[131]	train-auc:0.90830	test-auc:0.86281
[132]	train-auc:0.90851	test-auc:0.86291
[133]	train-auc:0.90879	test-auc:0.86300
[134]	train-auc:0.90906	test-auc:0.86313
[135]	train-auc:0.90932	test-auc:0.86333
[136]	train-auc:0.90967	test-auc:0.86336
[137]	train-auc:0.90992	test-auc:0.86335
[138]	train-auc:0.91026	test-auc:0.86342
[139]	train-auc:0.91055	test-auc:0.86350
[140]	train-auc:0.91084	test-auc:0.86356
[141]	train-auc:0.91118	test-auc:0.86376
[142]	train-auc:0.91136	test-auc:0.86382
[143]	train-auc:0.91169	test-auc:0.86387
[144]	train-auc:0.91197	test-auc:0.86394
[145]	train-auc:0.91224	test-auc:0.86394
[146]	train-auc:0.91241	test-auc:0.86401
[147]	train-auc:0.91273	test-auc:0.86416
[148]	train-auc:0.91303	test-auc:0.86421
[149]	train-auc:0.91327	test-auc:0.86420
[150]	train-auc:0.91349	test-auc:0.86426
[151]	train-auc:0.91371	test-auc:0.86430
[152]	train-auc:0.91386	test-auc:0.86429
[153]	train-auc:0.91416	test-auc:0.86436
[154]	train-auc:0.91442	test-auc:0.86438
[155]	train-auc:0.91466	test-auc:0.86444
[156]	train-auc:0.91496	test-auc:0.86447
[157]	train-auc:0.91522	test-auc:0.86450
[158]	train-auc:0.91542	test-auc:0.86452
[159]	train-auc:0.91571	test-auc:0.86460
[160]	train-auc:0.91597	test-auc:0.86457
[161]	train-auc:0.91617	test-auc:0.86462
[162]	train-auc:0.91643	test-auc:0.86469
[163]	train-auc:0.91664	test-auc:0.86474
[164]	train-auc:0.91695	test-auc:0.86478
[165]	train-auc:0.91717	test-auc:0.86476
[166]	train-auc:0.91737	test-auc:0.86480
[167]	train-auc:0.91755	test-auc:0.86484
[168]	train-auc:0.91766	test-auc:0.86482
[169]	train-auc:0.91787	test-auc:0.86481
[170]	train-auc:0.91804	test-auc:0.86482
[171]	train-auc:0.91823	test-auc:0.86485
[172]	train-auc:0.91843	test-auc:0.86492
[173]	train-auc:0.91864	test-auc:0.86495
[174]	train-auc:0.91875	test-auc:0.86496
[175]	train-auc:0.91890	test-auc:0.86501
[176]	train-auc:0.91907	test-auc:0.86506
[177]	train-auc:0.91929	test-auc:0.86504
[178]	train-auc:0.91949	test-auc:0.86504
[179]	train-auc:0.91970	test-auc:0.86508
[180]	train-auc:0.91994	test-auc:0.86508
[181]	train-auc:0.92008	test-auc:0.86512
[182]	train-auc:0.92020	test-auc:0.86505
[183]	train-auc:0.92044	test-auc:0.86505
[184]	train-auc:0.92070	test-auc:0.86512
[185]	train-auc:0.92088	test-auc:0.86516
[186]	train-auc:0.92112	test-auc:0.86508
[187]	train-auc:0.92132	test-auc:0.86507
[188]	train-auc:0.92144	test-auc:0.86506
[189]	train-auc:0.92166	test-auc:0.86507
[190]	train-auc:0.92184	test-auc:0.86509
[191]	train-auc:0.92197	test-auc:0.86508
[192]	train-auc:0.92206	test-auc:0.86510
[193]	train-auc:0.92221	test-auc:0.86512
[194]	train-auc:0.92250	test-auc:0.86517
[195]	train-auc:0.92264	test-auc:0.86523
[196]	train-auc:0.92287	test-auc:0.86522
[197]	train-auc:0.92302	test-auc:0.86522
[198]	train-auc:0.92327	test-auc:0.86533
[199]	train-auc:0.92345	test-auc:0.86532
[200]	train-auc:0.92363	test-auc:0.86537
[201]	train-auc:0.92387	test-auc:0.86536
[202]	train-auc:0.92403	test-auc:0.86536
[203]	train-auc:0.92420	test-auc:0.86537
[204]	train-auc:0.92451	test-auc:0.86539
[205]	train-auc:0.92471	test-auc:0.86537
[206]	train-auc:0.92509	test-auc:0.86558
[207]	train-auc:0.92527	test-auc:0.86558
[208]	train-auc:0.92553	test-auc:0.86557
[209]	train-auc:0.92570	test-auc:0.86559
[210]	train-auc:0.92594	test-auc:0.86559
[211]	train-auc:0.92601	test-auc:0.86563
[212]	train-auc:0.92625	test-auc:0.86569
[213]	train-auc:0.92634	test-auc:0.86569
[214]	train-auc:0.92650	test-auc:0.86581
[215]	train-auc:0.92675	test-auc:0.86586
[216]	train-auc:0.92692	test-auc:0.86583
[217]	train-auc:0.92706	test-auc:0.86582
[218]	train-auc:0.92712	test-auc:0.86585
