/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[00:40:07] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.84468	test-auc:0.83036
[124]	train-auc:0.84476	test-auc:0.83040
[125]	train-auc:0.84488	test-auc:0.83051
[126]	train-auc:0.84495	test-auc:0.83057
[127]	train-auc:0.84506	test-auc:0.83066
[128]	train-auc:0.84516	test-auc:0.83072
[129]	train-auc:0.84530	test-auc:0.83081
[130]	train-auc:0.84541	test-auc:0.83089
[131]	train-auc:0.84548	test-auc:0.83095
[132]	train-auc:0.84560	test-auc:0.83105
[133]	train-auc:0.84568	test-auc:0.83111
[134]	train-auc:0.84579	test-auc:0.83118
[135]	train-auc:0.84588	test-auc:0.83124
[136]	train-auc:0.84597	test-auc:0.83132
[137]	train-auc:0.84607	test-auc:0.83140
[138]	train-auc:0.84614	test-auc:0.83147
[139]	train-auc:0.84622	test-auc:0.83153
[140]	train-auc:0.84632	test-auc:0.83161
[141]	train-auc:0.84639	test-auc:0.83169
[142]	train-auc:0.84647	test-auc:0.83173
[143]	train-auc:0.84655	test-auc:0.83179
[144]	train-auc:0.84665	test-auc:0.83186
[145]	train-auc:0.84675	test-auc:0.83195
[146]	train-auc:0.84685	test-auc:0.83202
[147]	train-auc:0.84695	test-auc:0.83210
[148]	train-auc:0.84702	test-auc:0.83216
[149]	train-auc:0.84710	test-auc:0.83220
[150]	train-auc:0.84717	test-auc:0.83227
[151]	train-auc:0.84726	test-auc:0.83233
[152]	train-auc:0.84735	test-auc:0.83242
[153]	train-auc:0.84747	test-auc:0.83251
[154]	train-auc:0.84758	test-auc:0.83261
[155]	train-auc:0.84768	test-auc:0.83273
[156]	train-auc:0.84777	test-auc:0.83278
[157]	train-auc:0.84788	test-auc:0.83285
[158]	train-auc:0.84798	test-auc:0.83292
[159]	train-auc:0.84808	test-auc:0.83301
[160]	train-auc:0.84815	test-auc:0.83304
[161]	train-auc:0.84823	test-auc:0.83308
[162]	train-auc:0.84832	test-auc:0.83314
[163]	train-auc:0.84840	test-auc:0.83319
[164]	train-auc:0.84849	test-auc:0.83324
[165]	train-auc:0.84859	test-auc:0.83331
[166]	train-auc:0.84867	test-auc:0.83336
[167]	train-auc:0.84877	test-auc:0.83341
[168]	train-auc:0.84887	test-auc:0.83347
[169]	train-auc:0.84896	test-auc:0.83351
[170]	train-auc:0.84905	test-auc:0.83356
[171]	train-auc:0.84915	test-auc:0.83362
[172]	train-auc:0.84924	test-auc:0.83367
[173]	train-auc:0.84938	test-auc:0.83379
[174]	train-auc:0.84947	test-auc:0.83386
[175]	train-auc:0.84957	test-auc:0.83391
[176]	train-auc:0.84963	test-auc:0.83394
[177]	train-auc:0.84973	test-auc:0.83402
[178]	train-auc:0.84984	test-auc:0.83411
[179]	train-auc:0.84995	test-auc:0.83419
[180]	train-auc:0.85006	test-auc:0.83427
[181]	train-auc:0.85015	test-auc:0.83433
[182]	train-auc:0.85024	test-auc:0.83440
[183]	train-auc:0.85033	test-auc:0.83446
[184]	train-auc:0.85044	test-auc:0.83452
[185]	train-auc:0.85054	test-auc:0.83461
[186]	train-auc:0.85062	test-auc:0.83466
[187]	train-auc:0.85072	test-auc:0.83475
[188]	train-auc:0.85084	test-auc:0.83484
[189]	train-auc:0.85095	test-auc:0.83492
[190]	train-auc:0.85104	test-auc:0.83499
[191]	train-auc:0.85110	test-auc:0.83502
[192]	train-auc:0.85119	test-auc:0.83508
[193]	train-auc:0.85129	test-auc:0.83515
[194]	train-auc:0.85138	test-auc:0.83520
[195]	train-auc:0.85150	test-auc:0.83531
[196]	train-auc:0.85159	test-auc:0.83539
[197]	train-auc:0.85169	test-auc:0.83545
[198]	train-auc:0.85177	test-auc:0.83551
[199]	train-auc:0.85187	test-auc:0.83556
