[23:19:21] WARNING: ../src/learner.cc:541: 
Parameters: { n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[128]	train-auc:0.90201	test-auc:0.83950
[129]	train-auc:0.90211	test-auc:0.83955
[130]	train-auc:0.90241	test-auc:0.83998
[131]	train-auc:0.90264	test-auc:0.84014
[132]	train-auc:0.90291	test-auc:0.84031
[133]	train-auc:0.90315	test-auc:0.84053
[134]	train-auc:0.90348	test-auc:0.84113
[135]	train-auc:0.90374	test-auc:0.84137
[136]	train-auc:0.90399	test-auc:0.84147
[137]	train-auc:0.90429	test-auc:0.84102
[138]	train-auc:0.90458	test-auc:0.84124
[139]	train-auc:0.90487	test-auc:0.84107
[140]	train-auc:0.90509	test-auc:0.84119
[141]	train-auc:0.90529	test-auc:0.84147
[142]	train-auc:0.90544	test-auc:0.84144
[143]	train-auc:0.90573	test-auc:0.84174
[144]	train-auc:0.90586	test-auc:0.84055
[145]	train-auc:0.90611	test-auc:0.84064
[146]	train-auc:0.90626	test-auc:0.84038
[147]	train-auc:0.90652	test-auc:0.84056
[148]	train-auc:0.90676	test-auc:0.83984
[149]	train-auc:0.90694	test-auc:0.84006
[150]	train-auc:0.90718	test-auc:0.84006
[151]	train-auc:0.90733	test-auc:0.84021
[152]	train-auc:0.90744	test-auc:0.84029
[153]	train-auc:0.90761	test-auc:0.84056
[154]	train-auc:0.90792	test-auc:0.84097
[155]	train-auc:0.90806	test-auc:0.84121
[156]	train-auc:0.90825	test-auc:0.84098
[157]	train-auc:0.90843	test-auc:0.84059
[158]	train-auc:0.90866	test-auc:0.84051
[159]	train-auc:0.90881	test-auc:0.84065
[160]	train-auc:0.90917	test-auc:0.84066
[161]	train-auc:0.90945	test-auc:0.84103
[162]	train-auc:0.90955	test-auc:0.84046
[163]	train-auc:0.90982	test-auc:0.84076
[164]	train-auc:0.91000	test-auc:0.84091
[165]	train-auc:0.91034	test-auc:0.84116
[166]	train-auc:0.91052	test-auc:0.84120
[167]	train-auc:0.91073	test-auc:0.84137
[168]	train-auc:0.91098	test-auc:0.84151
[169]	train-auc:0.91113	test-auc:0.84170
[170]	train-auc:0.91126	test-auc:0.84131
[171]	train-auc:0.91151	test-auc:0.84174
[172]	train-auc:0.91173	test-auc:0.84197
[173]	train-auc:0.91197	test-auc:0.84210
[174]	train-auc:0.91220	test-auc:0.84238
[175]	train-auc:0.91239	test-auc:0.84228
[176]	train-auc:0.91268	test-auc:0.84246
[177]	train-auc:0.91297	test-auc:0.84294
[178]	train-auc:0.91316	test-auc:0.84277
[179]	train-auc:0.91325	test-auc:0.84200
[180]	train-auc:0.91342	test-auc:0.84216
[181]	train-auc:0.91365	test-auc:0.84243
[182]	train-auc:0.91381	test-auc:0.84256
[183]	train-auc:0.91404	test-auc:0.84280
[184]	train-auc:0.91429	test-auc:0.84298
[185]	train-auc:0.91443	test-auc:0.84269
[186]	train-auc:0.91455	test-auc:0.84271
[187]	train-auc:0.91472	test-auc:0.84293
[188]	train-auc:0.91482	test-auc:0.84250
[189]	train-auc:0.91491	test-auc:0.84252
[190]	train-auc:0.91512	test-auc:0.84287
[191]	train-auc:0.91533	test-auc:0.84303
[192]	train-auc:0.91549	test-auc:0.84323
[193]	train-auc:0.91570	test-auc:0.84326
[194]	train-auc:0.91593	test-auc:0.84362
[195]	train-auc:0.91612	test-auc:0.84360
[196]	train-auc:0.91630	test-auc:0.84365
[197]	train-auc:0.91647	test-auc:0.84395
[198]	train-auc:0.91671	test-auc:0.84427
[199]	train-auc:0.91685	test-auc:0.84446
[200]	train-auc:0.91706	test-auc:0.84473
[201]	train-auc:0.91717	test-auc:0.84484
[202]	train-auc:0.91727	test-auc:0.84500
[203]	train-auc:0.91760	test-auc:0.84504
