/opt/conda/lib/python3.7/site-packages/xgboost/training.py:19: UserWarning: Old style callback is deprecated.  See: https://xgboost.readthedocs.io/en/latest/python/callbacks.html
  warnings.warn(f'Old style callback is deprecated.  See: {link}', UserWarning)
[20:23:34] WARNING: ../src/learner.cc:541: 
Parameters: { early_stopping_rounds, n_estimators, num_leaves } might not be used.

  This may not be accurate due to some parameters are only used in language bindings but
  passed down to XGBoost core.  Or some parameters are not used but slip through this
  verification. Please open an issue if you find above cases.


[123]	train-auc:0.90095	test-auc:0.90030
[124]	train-auc:0.90129	test-auc:0.90066
[125]	train-auc:0.90149	test-auc:0.90087
[126]	train-auc:0.90175	test-auc:0.90116
[127]	train-auc:0.90202	test-auc:0.90144
[128]	train-auc:0.90216	test-auc:0.90154
[129]	train-auc:0.90238	test-auc:0.90173
[130]	train-auc:0.90273	test-auc:0.90207
[131]	train-auc:0.90299	test-auc:0.90235
[132]	train-auc:0.90324	test-auc:0.90261
[133]	train-auc:0.90348	test-auc:0.90285
[134]	train-auc:0.90367	test-auc:0.90304
[135]	train-auc:0.90394	test-auc:0.90332
[136]	train-auc:0.90421	test-auc:0.90362
[137]	train-auc:0.90452	test-auc:0.90393
[138]	train-auc:0.90465	test-auc:0.90407
[139]	train-auc:0.90496	test-auc:0.90437
[140]	train-auc:0.90526	test-auc:0.90470
[141]	train-auc:0.90551	test-auc:0.90499
[142]	train-auc:0.90571	test-auc:0.90515
[143]	train-auc:0.90595	test-auc:0.90536
[144]	train-auc:0.90621	test-auc:0.90560
[145]	train-auc:0.90651	test-auc:0.90595
[146]	train-auc:0.90673	test-auc:0.90618
[147]	train-auc:0.90697	test-auc:0.90643
[148]	train-auc:0.90716	test-auc:0.90660
[149]	train-auc:0.90746	test-auc:0.90690
[150]	train-auc:0.90769	test-auc:0.90712
[151]	train-auc:0.90791	test-auc:0.90731
[152]	train-auc:0.90808	test-auc:0.90751
[153]	train-auc:0.90829	test-auc:0.90771
[154]	train-auc:0.90841	test-auc:0.90784
[155]	train-auc:0.90857	test-auc:0.90800
[156]	train-auc:0.90882	test-auc:0.90826
[157]	train-auc:0.90908	test-auc:0.90854
[158]	train-auc:0.90926	test-auc:0.90865
[159]	train-auc:0.90946	test-auc:0.90885
[160]	train-auc:0.90957	test-auc:0.90894
